dataset,method,model,mean,q90,std,raw
wine,CV,LOF,0.165,0.444,0.177,"[0.00875, 0, 0.055330000000000004, 0.36005, 0.155, 0, 0.32883, 0.0175, 0, 0.5176000000000001, 0.08707000000000001, 0.18751, 0.145, 0, 0.52144, 0.52596, 0, 0, 0.53572, 0.2817, 0, 0.29378, 0, 0, 0.36973, 0, 0.15, 0.2767, 0.26169, 0.28469, 0.1, 0.28532, 0.145, 0, 0, 0.2817, 0, 0.48048, 0, 0.0489, 0.008, 0.015, 0.14, 0.008, 0, 0, 0.52042, 0.42423, 0.47473, 0.162, 0.15, 0.41863, 0.2617, 0, 0, 0.61829, 0, 0, 0.016, 0.03, 0.28671, 0.176, 0, 0.24168, 0, 0.44028, 0.14, 0.03, 0, 0.15, 0, 0.27851, 0.43075, 0.42108, 0.1675, 0, 0, 0.16, 0.11, 0.21583, 0.5091, 0.165, 0.145, 0.01732, 0.12, 0.03, 0.14, 0.31935, 0, 0.33904, 0.16956000000000002, 0, 0, 0.30338, 0, 0.159, 0, 0, 0.54592, 0.30346]"
wine,CV,PCA,0.04,0.085,0.098,"[0, 0, 0.03275, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.065, 0, 0.03275, 0, 0.035, 0.08, 0, 0, 0, 0.30248, 0, 0, 0, 0, 0, 0, 0.105, 0.05, 0.024, 0.0375, 0, 0, 0, 0.0835, 0, 0, 0, 0, 0, 0.048330000000000005, 0.03, 0.0175, 0.025, 0, 0.44223, 0.51221, 0.37085, 0, 0, 0, 0, 0.036000000000000004, 0.0505, 0, 0, 0.07490000000000001, 0, 0, 0.14584, 0.0525, 0.06834, 0, 0, 0, 0, 0.008, 0.02, 0, 0.03, 0, 0, 0, 0, 0, 0, 0.03, 0.025, 0.20349, 0.023, 0.03, 0, 0, 0, 0, 0.015, 0, 0, 0.1635, 0, 0, 0.0375, 0.025, 0.10001, 0, 0, 0, 0.52093, 0.033]"
wine,CV+,IForest,0.037,0.149,0.091,"[0.10883, 0.0225, 0.04825, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.008, 0, 0, 0, 0, 0.23667, 0, 0.17083, 0, 0, 0, 0, 0.11, 0.0385, 0, 0.14834, 0, 0.0075, 0.015, 0, 0, 0, 0.01607, 0.016, 0, 0, 0, 0, 0.008, 0.10167, 0, 0, 0.008, 0, 0, 0.15733, 0, 0, 0.035, 0, 0.1, 0, 0.07050000000000001, 0.008, 0, 0, 0, 0, 0, 0, 0.0075, 0.032, 0, 0, 0, 0, 0.032, 0.187, 0, 0, 0.27702, 0.008, 0, 0, 0, 0, 0.39235000000000003, 0.27553, 0, 0.59161, 0.19503, 0, 0, 0, 0, 0, 0.10834, 0, 0, 0.03, 0, 0, 0, 0, 0, 0.16335, 0]"
wine,CV+,LOF,0.15,0.415,0.17,"[0, 0, 0.36005, 0.040330000000000005, 0, 0.155, 0.27335, 0, 0, 0.5176000000000001, 0.03157, 0.34089, 0.52144, 0.145, 0, 0, 0, 0.48972, 0.35617, 0.2817, 0, 0.29961, 0, 0.15, 0, 0.2767, 0.29169, 0, 0.26169, 0.17, 0, 0.28532, 0, 0, 0.145, 0, 0.2817, 0, 0.41911, 0.01657, 0, 0, 0, 0.14, 0, 0.42309, 0, 0.42423, 0.34586, 0.143, 0.15, 0.2617, 0.41481, 0, 0, 0, 0, 0.68498, 0, 0, 0.28671, 0.24168, 0.17, 0, 0, 0.125, 0, 0.44028, 0, 0.03, 0, 0.27602, 0.30901, 0.16, 0.34405, 0, 0, 0.16, 0.14083, 0.09, 0.165, 0.5091, 0.145, 0.00875, 0.12, 0, 0.14, 0, 0.29802, 0.319, 0.16932, 0.30338, 0, 0, 0, 0, 0.06, 0, 0.54592, 0.30346]"
wine,CV+,PCA,0.036,0.069,0.096,"[0, 0, 0.06633, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.065, 0, 0, 0.035, 0.01675, 0, 0, 0, 0, 0.31648, 0, 0, 0, 0, 0, 0, 0.105, 0.05, 0.016, 0.0225, 0, 0, 0.0835, 0, 0, 0, 0, 0, 0, 0.018000000000000002, 0.03, 0.0175, 0.025, 0, 0.37085, 0.44223, 0.51221, 0, 0.07466, 0, 0.0505, 0, 0, 0, 0.016, 0, 0, 0, 0.06834, 0.0225, 0.0525, 0.008, 0, 0, 0.02, 0, 0, 0, 0.03, 0, 0, 0, 0, 0, 0.03, 0, 0, 0.12685, 0.03, 0.023, 0, 0, 0, 0.015, 0, 0, 0, 0.1635, 0, 0, 0.0375, 0.025, 0.035, 0, 0, 0, 0.4973, 0.033]"
ionosphere,SC,IForest,0.044,0.138,0.107,"[0.014, 0.10667, 0, 0, 0, 0.0175, 0, 0.26169, 0.01514, 0.009000000000000001, 0, 0.15254, 0, 0.13662, 0, 0, 0.20778, 0, 0.005, 0, 0, 0, 0.0125, 0.32445999999999997, 0.073, 0, 0, 0, 0, 0.12792, 0, 0, 0, 0.10144, 0.17038, 0, 0, 0, 0, 0.006999999999999999, 0, 0, 0.0485, 0.005, 0.12646, 0.1293, 0, 0.05471, 0.80781, 0.25948, 0, 0, 0.006999999999999999, 0.0025, 0.058499999999999996, 0, 0, 0, 0, 0, 0, 0, 0.0685, 0, 0, 0.0075, 0, 0, 0, 0, 0, 0.035, 0, 0, 0, 0, 0.0315, 0.28434, 0, 0.08527, 0, 0, 0.27101000000000003, 0.005, 0, 0, 0.11839, 0, 0, 0, 0.005, 0.00571, 0, 0.00714, 0, 0, 0.23915, 0, 0.0125, 0.01142]"
ionosphere,SC,LOF,0.077,0.238,0.127,"[0.25084, 0.005, 0.22402, 0.28831, 0.21032, 0.0125, 0, 0.094, 0, 0.025, 0.01196, 0.0325, 0.14598, 0.25667, 0.053, 0, 0.09294, 0.23706, 0.0075, 0, 0.04425, 0.0505, 0, 0.07721, 0.18397, 0, 0.6227, 0.0945, 0, 0.0025, 0.015, 0.03, 0.01428, 0, 0.05317, 0.01, 0, 0.03418, 0, 0.03499, 0, 0, 0.01, 0.089, 0.032, 0.08395, 0.16763, 0.0075, 0.57334, 0.18558, 0.0025, 0.029, 0, 0, 0, 0.0175, 0.01321, 0, 0.0395, 0, 0.013919999999999998, 0, 0.1988, 0, 0, 0.01856, 0, 0.28997, 0.030879999999999998, 0.11767, 0, 0, 0.30031, 0.15467, 0, 0.09921, 0.01, 0.005, 0.08346, 0.098, 0.29020999999999997, 0.01821, 0.039, 0.11796, 0, 0, 0.60949, 0.01, 0.0175, 0.18115, 0.38819, 0, 0.025, 0.0075, 0.0025, 0, 0.057179999999999995, 0.005, 0, 0]"
ionosphere,SC,PCA,0.072,0.247,0.13,"[0.02, 0.2288, 0.028, 0, 0, 0, 0.028, 0, 0.03095, 0.1975, 0.0025, 0.23464, 0.00714, 0, 0.0455, 0, 0.1305, 0.48622, 0, 0, 0, 0.07721, 0, 0.005, 0, 0.31394, 0.36802999999999997, 0.09767, 0, 0, 0.42431, 0, 0, 0, 0, 0.16724, 0, 0, 0.012, 0, 0, 0, 0, 0.0375, 0.1155, 0.26173, 0.08094, 0.02, 0.66941, 0.1375, 0.01713, 0, 0.0605, 0.08817, 0, 0.0125, 0.005, 0, 0.0025, 0, 0, 0, 0.0845, 0.0025, 0.005, 0, 0.0025, 0, 0, 0.0025, 0.0025, 0.0265, 0, 0, 0.021500000000000002, 0.005, 0.2459, 0.104, 0.25864, 0, 0.0075, 0.1635, 0, 0.00571, 0.39894, 0.24167, 0.36438, 0, 0.0965, 0.0075, 0, 0.037, 0.0165, 0.12917, 0, 0.025, 0, 0.005, 0.47259, 0.0645]"
ionosphere,J,IForest,0.073,0.233,0.111,"[0.31592, 0.08749, 0.4833, 0.23083, 0.0125, 0.12471, 0.0, 0, 0, 0.06732, 0.023, 0.031129999999999998, 0.22716, 0.008, 0.03214, 0.07585, 0.085, 0, 0.021500000000000002, 0.004, 0, 0.012, 0.04592, 0.0125, 0.29062, 0.009000000000000001, 0, 0.0, 0.004, 0, 0.0485, 0.0, 0.0, 0.015, 0.13953, 0.11066, 0.15038, 0, 0.01142, 0.004, 0, 0.0, 0.08733, 0.44532, 0.25246, 0.16349, 0.01, 0.17932, 0.25662, 0.0025, 0.014450000000000001, 0.0, 0.004, 0.03333, 0.12382, 0.0075, 0, 0.11165, 0.08734, 0.0, 0.0, 0.0, 0.0425, 0.0, 0.05249, 0.04333, 0.0, 0, 0, 0.018000000000000002, 0.06833, 0.08849, 0, 0.0, 0.08332, 0.0, 0.0025, 0.11576, 0.16767, 0, 0.20065, 0.07183, 0.29828, 0.05921, 0.017, 0.24898, 0.56657, 0.0025, 0.006, 0.02113, 0.0025, 0.017, 0.29255, 0.015, 0.0565, 0.15843000000000002, 0.0, 0.012, 0.0, 0.08133]"
ionosphere,J,LOF,0.136,0.328,0.14,"[0.06998, 0.12182, 0.56746, 0.19914, 0.15449000000000002, 0.18385, 0.28418, 0.25475, 0.0, 0.39667, 0.21542, 0.45899, 0.24397, 0.30855, 0.13566, 0.20162, 0.30777, 0.0, 0.12149, 0.0, 0.036129999999999995, 0.14031, 0.07582, 0.13197, 0.3242, 0.0, 0.10131, 0.0075, 0.11011, 0.0, 0.0165, 0.0, 0.06671, 0.0, 0.29862, 0.20881, 0.3974, 0.0, 0.0375, 0.19414, 0.0195, 0.09116, 0.15542, 0.16154, 0.09663000000000001, 0.11247, 0.0, 0.09154, 0.0, 0.39296000000000003, 0.07164, 0.081, 0.041, 0.03, 0.08163000000000001, 0.0, 0.26067, 0.0, 0.024, 0.11414, 0.004, 0.14150000000000001, 0.012, 0.36007, 0.05352, 0.081, 0.1687, 0.12529, 0.54904, 0.20061, 0.053, 0.19777, 0.09088, 0.1423, 0.18263000000000001, 0.034, 0.07482, 0.19198, 0.0, 0.19512000000000002, 0.45329, 0.0, 0.48637, 0.20909, 0.0, 0.27671, 0.22763, 0.0, 0.49932, 0.16945, 0.018000000000000002, 0.0, 0.0125, 0.098, 0.029500000000000002, 0.0, 0.0485, 0.00571, 0.013000000000000001, 0.0]"
