dataset,method,model,mean,q90,std,raw
ionosphere,J,PCA,0.092,0.306,0.119,"[0.18397, 0.19584000000000001, 0.0, 0.18518, 0.01221, 0.0225, 0.0, 0.0, 0.042, 0.19615, 0.025500000000000002, 0.04564, 0.31019, 0.005, 0.008, 0.027, 0.04092, 0.31017, 0.0, 0.025500000000000002, 0.09365, 0.0305, 0.27968, 0.0, 0.09483, 0.3185, 0.21517, 0.04542, 0.0, 0.0, 0.32482, 0.12331, 0.0025, 0.0025, 0.0, 0.04121, 0.09664, 0.0, 0.29572, 0.025, 0.0, 0.22413, 0.14482, 0.0225, 0.0, 0.0265, 0.0645, 0.23664, 0.33249, 0.30568, 0.0, 0.0, 0.33449, 0.032, 0.0025, 0.0, 0.0, 0.0, 0.069, 0.08082, 0.0, 0.0, 0.006500000000000001, 0.052, 0.0, 0.0, 0.08732, 0.0, 0.0, 0.023, 0.0, 0.07649, 0.030000000000000002, 0.11216, 0.10497000000000001, 0.0, 0.19886, 0.027, 0.45003, 0.0, 0.26831, 0.35412, 0.013000000000000001, 0.36625, 0.12848, 0.46838, 0.20081000000000002, 0.11115, 0.09199, 0.0, 0.0145, 0.027, 0.20299, 0.0265, 0.0, 0.08499, 0.11999, 0.005, 0.0, 0.0]"
ionosphere,J+,IForest,0.064,0.193,0.09,"[0.0, 0.008, 0.22154000000000001, 0.008, 0.1205, 0.0075, 0.21264, 0.28497, 0.0815, 0.16799, 0.0235, 0.16899, 0.0565, 0, 0.20183, 0.004, 0.05, 0.015, 0.18897, 0.013000000000000001, 0.016, 0.0, 0.026000000000000002, 0.0375, 0.0455, 0.014, 0.069, 0.029, 0.0, 0, 0.0555, 0.0, 0.0125, 0.08865, 0.0, 0.08584, 0.006500000000000001, 0.0, 0.19186, 0, 0.0265, 0.004, 0.06082, 0.22032000000000002, 0, 0.28286, 0.32164, 0.16448, 0.17517, 0.02871, 0.0, 0.10232, 0.006670000000000001, 0.0, 0, 0.09465, 0, 0.0, 0.10834, 0, 0.0, 0.004, 0.0, 0.06664, 0.019, 0.0, 0.0, 0.0, 0, 0.021500000000000002, 0.07499, 0.0, 0.0, 0.01, 0.173, 0.0, 0.0635, 0.06332, 0.048709999999999996, 0, 0.08883, 0.09, 0.26515, 0.23981, 0.12917, 0.48432, 0.012, 0.0, 0.1289, 0.024, 0.0105, 0.16267, 0.05888, 0.0505, 0.026000000000000002, 0.0, 0.0, 0, 0, 0.0175]"
ionosphere,J+,LOF,0.136,0.328,0.14,"[0.25475, 0.06998, 0.0, 0.12182, 0.39667, 0.56746, 0.18385, 0.19914, 0.28418, 0.15449000000000002, 0.24397, 0.30855, 0.45899, 0.20162, 0.30777, 0.0, 0.21542, 0.12149, 0.0, 0.13566, 0.07582, 0.14031, 0.036129999999999995, 0.13197, 0.3242, 0.0, 0.0075, 0.11011, 0.10131, 0.0, 0.0165, 0.3974, 0.0, 0.06671, 0.0, 0.20631, 0.29262, 0.0, 0.0375, 0.19414, 0.0195, 0.09116, 0.15542, 0.11247, 0.16154, 0.09663000000000001, 0.09154, 0.0, 0.0, 0.39296000000000003, 0.07164, 0.081, 0.03, 0.041, 0.08163000000000001, 0.0, 0.0, 0.26067, 0.024, 0.11414, 0.004, 0.14150000000000001, 0.012, 0.36007, 0.12529, 0.05352, 0.1687, 0.20061, 0.081, 0.54904, 0.053, 0.09088, 0.1423, 0.19777, 0.034, 0.07482, 0.19198, 0.0, 0.18263000000000001, 0.19512000000000002, 0.45429, 0.0, 0.48637, 0.20909, 0.0, 0.27671, 0.22763, 0.0, 0.16945, 0.49932, 0.018000000000000002, 0.0, 0.098, 0.0125, 0.029500000000000002, 0.0485, 0.00571, 0.0, 0.0, 0.013000000000000001]"
ionosphere,J+,PCA,0.082,0.291,0.116,"[0.18518, 0.11565, 0.0, 0.17384, 0.0225, 0.0, 0.0, 0.008, 0.19865, 0.042, 0.04564, 0.005, 0.025500000000000002, 0.31017, 0.008, 0.31019, 0.027, 0.0265, 0.0, 0.03842, 0.09365, 0.015, 0.0, 0.27968, 0.30516, 0.0265, 0.04542, 0.21517, 0.0, 0.0, 0.33316, 0.0, 0.12331, 0.0025, 0.0, 0.03871, 0.0025, 0.0, 0.25172, 0.025, 0.0, 0.0, 0.0265, 0.2895, 0.0265, 0.0225, 0.30568, 0.22497, 0.057, 0.23783, 0.0, 0.0, 0.33449, 0.0, 0.0, 0.032, 0.0, 0.0, 0.065, 0.02, 0.0, 0.0, 0.052, 0.0, 0.0, 0.0205, 0.006500000000000001, 0.0, 0.024, 0.0, 0.0, 0.07649, 0.030000000000000002, 0.0, 0.0205, 0.10497000000000001, 0.19386, 0.027, 0.39491, 0.0, 0.26931, 0.0075, 0.35612, 0.10081, 0.36143, 0.13182, 0.46938, 0.0195, 0.09199, 0.0, 0.0145, 0.021500000000000002, 0.20299, 0.0225, 0.08499, 0.0, 0.0, 0.11499, 0.0, 0.0]"
ionosphere,CV,IForest,0.065,0.207,0.117,"[0.01934, 0.0, 0.0025, 0.004, 0.11643, 0.21895, 0.30016, 0.0115, 0.09156, 0.06398, 0, 0.0025, 0.06832, 0, 0.21522, 0, 0.0305, 0.18238, 0.0025, 0.0, 0.02, 0.079, 0.0, 0.22856, 0.011, 0.025, 0, 0, 0.0, 0.0, 0.0665, 0.0395, 0.0, 0.0, 0.0165, 0, 0.005, 0.0, 0.37757, 0, 0.09083, 0, 0.21248, 0.0, 0.0, 0.1937, 0.16466, 0.11275, 0.0125, 0, 0.0, 0.023989999999999997, 0, 0.0, 0.0025, 0.0, 0, 0, 0, 0, 0, 0.0, 0.45978, 0.01, 0.0, 0.058, 0.0625, 0.0, 0.0, 0.06666, 0.07666, 0.04621, 0.01, 0, 0.13312, 0.08083, 0.0, 0.0125, 0.49279, 0.0, 0.20631, 0.05517, 0.077, 0.14734, 0.01, 0, 0.6636, 0.004, 0.0, 0.38037, 0.023, 0.03984, 0.07366, 0.0, 0.10147, 0.12333, 0.005, 0.0, 0.0, 0.08832]"
ionosphere,CV,LOF,0.152,0.35,0.144,"[0.21241, 0.57317, 0.0, 0.0685, 0.34713, 0.42632, 0.31895, 0.19848000000000002, 0.29032, 0.253, 0.23647, 0.30094, 0.25305, 0.54399, 0.0, 0.11394, 0.30191, 0.41613, 0.06, 0.13066, 0.08032, 0.1179, 0.25492, 0.09081, 0.11113, 0.0, 0.0075, 0.09248, 0.11077, 0.029, 0.0315, 0.09921, 0.0, 0.25834, 0.32128, 0.012, 0.29946, 0.09397, 0.01713, 0.15782, 0.015, 0.13342, 0.0245, 0.10663, 0.10713, 0.0, 0.38712, 0.1095, 0.1143, 0.11914, 0.0175, 0.13167, 0.08432, 0.0, 0.08163000000000001, 0.11663, 0.0, 0.09913, 0.19022, 0.025, 0.0565, 0.012, 0.0, 0.06954, 0.11581, 0.31699, 0.2148, 0.37185, 0.116, 0.47979, 0.008, 0.15147, 0.031, 0.10073, 0.2076, 0.07582, 0.0, 0.18148, 0.2935, 0.1108, 0.45952, 0.56907, 0.004, 0.03, 0.2213, 0.0, 0.25991000000000003, 0.26504, 0.19099, 0.50137, 0.11631, 0.0908, 0.035, 0.21891, 0.12198, 0.0, 0.0, 0.13347, 0.0, 0.0075]"
ionosphere,CV,PCA,0.093,0.278,0.117,"[0.0, 0.18518, 0.19981000000000002, 0.0, 0.08667, 0.0, 0.009000000000000001, 0.22997, 0.0075, 0.20463, 0.07882, 0.23315, 0.0245, 0.04564, 0.0, 0.10716, 0.30617, 0.12166, 0.0025, 0.0265, 0.09699, 0.28301, 0.20282, 0.03871, 0.30449, 0.0, 0.097, 0.0, 0.14933, 0.0, 0.33583, 0.015, 0.09165, 0.0, 0.09414, 0.04121, 0.005, 0.0, 0.03371, 0.0315, 0.0, 0.0, 0.15231, 0.09399, 0.0275, 0.23247, 0.33249, 0.29984, 0.0265, 0.0, 0.0, 0.23214, 0.33783, 0.032, 0.0, 0.0, 0.0, 0.005, 0.0265, 0.015, 0.0, 0.0, 0.006500000000000001, 0.047, 0.0, 0.0, 0.068, 0.0, 0.0, 0.027, 0.07649, 0.0, 0.0, 0.20549, 0.10332, 0.0, 0.17819, 0.027, 0.45613000000000004, 0.0, 0.135, 0.0075, 0.31949, 0.20414000000000002, 0.27752, 0.13882, 0.54066, 0.21999, 0.0245, 0.0075, 0.15081, 0.14366, 0.21632, 0.0025, 0.0225, 0.09082, 0.005, 0.1107, 0.0, 0.005]"
ionosphere,CV+,IForest,0.062,0.204,0.098,"[0.0, 0.20898, 0.004, 0.05904, 0.0645, 0.23917, 0, 0.02, 0.08, 0.16715, 0.0105, 0.24771, 0.029, 0.20331, 0, 0, 0.22915, 0.0, 0.08732, 0.06899, 0.016, 0.0, 0.0815, 0.0265, 0.0025, 0.025, 0.0, 0.018000000000000002, 0, 0.01, 0.132, 0.0, 0.0275, 0.0, 0.0285, 0.0, 0.008, 0.0, 0.12398, 0, 0.07666, 0, 0.0, 0.22465000000000002, 0.15497, 0.24821000000000001, 0.39741, 0.1396, 0.12538, 0.029, 0.00571, 0.01, 0.0, 0.0, 0, 0.00571, 0.0415, 0, 0.0, 0, 0, 0.0, 0.12933, 0.05416, 0.0, 0, 0.0175, 0.0, 0.0, 0.08299, 0.06666, 0.00571, 0.009000000000000001, 0.0, 0.09916, 0.0025, 0, 0.16351, 0.0, 0.0, 0.21199, 0.24221, 0.16938, 0.0875, 0.0345, 0.006500000000000001, 0.18334, 0, 0.60905, 0.0, 0.12466, 0.02, 0, 0.0165, 0.0, 0.0, 0.0, 0, 0.12499, 0.08332]"
ionosphere,CV+,LOF,0.122,0.31,0.137,"[0.18638, 0.4972, 0.3401, 0.0, 0.11283, 0.25498, 0.29913, 0.24211, 0.028, 0.13216, 0.24731, 0.30862, 0.50017, 0.06, 0.06634, 0.0, 0.12533, 0.26003, 0.23697000000000001, 0.37391, 0.09081, 0.08202, 0.07599, 0.12571, 0.0, 0.023, 0.10946, 0.0, 0.004, 0.06706, 0.0075, 0.16104, 0.10171, 0.0, 0.0, 0.012, 0.2508, 0.25062, 0.10899, 0.11217, 0.015, 0.12021, 0.0245, 0.11614000000000001, 0.11914, 0.0, 0.06974, 0.07613, 0.38696, 0.0275, 0.015, 0.05571, 0.043000000000000003, 0.09663000000000001, 0.012, 0.0, 0.0, 0.1033, 0.13496, 0.0, 0.021500000000000002, 0.0, 0.0, 0.31759, 0.05682, 0.10797, 0.08832, 0.24937, 0.0395, 0.39596, 0.008, 0.02871, 0.19147, 0.20694, 0.0, 0.009000000000000001, 0.12399, 0.08399, 0.21863, 0.0, 0.41865, 0.0, 0.1938, 0.57797, 0.2382, 0.03, 0.15653, 0.0, 0.21962, 0.57208, 0.015, 0.1255, 0.13621, 0.0125, 0.10914, 0.0125, 0.0, 0.0, 0.0, 0.0]"
ionosphere,CV+,PCA,0.093,0.278,0.117,"[0.1074, 0.009000000000000001, 0.22497, 0.0, 0.18518, 0.0, 0.20463, 0.18314, 0.0075, 0.0075, 0.10716, 0.07382, 0.0, 0.23465, 0.027, 0.30784, 0.04564, 0.029, 0.0025, 0.0265, 0.09699, 0.28301, 0.034, 0.0, 0.20449, 0.30532, 0.221, 0.0595, 0.0, 0.0, 0.34083, 0.0175, 0.09165, 0.0, 0.04121, 0.0025, 0.0, 0.09664, 0.029419999999999998, 0.025, 0.0, 0.19014, 0.0275, 0.15231, 0.0, 0.08899, 0.33116, 0.23314000000000001, 0.019, 0.30568, 0.0, 0.0, 0.33783, 0.032, 0.0, 0.0265, 0.0, 0.0, 0.005, 0.015, 0.0, 0.0, 0.0, 0.0, 0.10981, 0.0, 0.0, 0.073, 0.035500000000000004, 0.08366, 0.07649, 0.0, 0.0, 0.41504, 0.0, 0.09998, 0.024, 0.20549, 0.17819, 0.0, 0.135, 0.0075, 0.20914, 0.53498, 0.0245, 0.0495, 0.27752, 0.39933, 0.21999, 0.0075, 0.0, 0.0225, 0.08499, 0.14066, 0.14915, 0.21715, 0.005, 0.11338, 0.005, 0.0]"
breastw,SC,IForest,0.178,0.328,0.112,"[0.16634, 0.19535, 0.14374, 0.12893, 0.22608, 0.40315, 0.28935, 0.14142, 0.21212, 0.32774, 0.32382, 0.18089, 0.0, 0.26098, 0.11914, 0.07643, 0.3391, 0.012, 0.25948, 0.10175, 0.07626999999999999, 0.02055, 0.34593, 0.16247999999999999, 0.20452, 0.07394, 0.39548, 0.11783, 0.20218, 0.26505, 0.12512, 0.01787, 0.27777999999999997, 0.16261, 0.15817, 0.15814999999999999, 0.3658, 0, 0.22222999999999998, 0.23222, 0.019659999999999997, 0.01064, 0.17292, 0.12612, 0.12684, 0.17013999999999999, 0.1846, 0.09918, 0.19524, 0.05728, 0.37655, 0.0, 0.18809, 0.26864, 0.23266, 0.30125, 0.2648, 0.04009, 0.12325, 0.42619, 0.15852, 0.30394, 0.31595, 0.2593, 0.05793, 0.33186, 0.08061, 0.14026, 0.32098, 0.26893, 0.03288, 0.35696, 0.03627, 0.32372, 0.24462, 0.014299999999999998, 0.2047, 0.0, 0.05233, 0.15662, 0.25573, 0.15677, 0.22431, 0.21811999999999998, 0.19362, 0.0, 0.05529, 0.0679, 0.050789999999999995, 0.049999999999999996, 0.14529, 0.29144, 0.25609, 0.26586, 0.1427, 0.018, 0.35727, 0.10103999999999999, 0.25858, 0.11302]"
breastw,SC,LOF,0.159,0.345,0.127,"[0.053219999999999996, 0.14052, 0.21214, 0, 0.07545, 0.04245, 0.17878, 0.40643, 0.23918999999999999, 0.08814, 0.08635999999999999, 0.15096, 0.04591, 0.20575, 0, 0.0525, 0.06094, 0.37678, 0.08498, 0.07314999999999999, 0.22479, 0.12827, 0.23987, 0.15291, 0.16125, 0.25931, 0.1827, 0.06875, 0.0165, 0.36887, 0.11696999999999999, 0, 0.0, 0.08472, 0.06373, 0.27307, 0.10794999999999999, 0.29426, 0.0, 0.27065, 0.07915, 0.0, 0.19423, 0.05754, 0.20897, 0.06654, 0.20402, 0.09963, 0.03699, 0.22142, 0.08436, 0.005, 0.0, 0.15393, 0.12957, 0.17753, 0.17404, 0.0997, 0.40899, 0.0598, 0.31948, 0.293, 0.04856, 0.37995, 0.45647, 0.13176, 0.06562, 0.27796, 0.26753, 0.45434, 0, 0.44755, 0.00425, 0.19196, 0.28488, 0.33184, 0.0, 0.23043, 0.26967, 0.15404, 0.30985, 0.21635, 0.11168, 0.03917, 0.34399, 0.08794, 0.08662, 0, 0.0028599999999999997, 0.003, 0.23827, 0.0, 0.03695, 0.35873, 0.36958, 0.294, 0.20212, 0.16299, 0.33858, 0]"
breastw,SC,PCA,0.17,0.336,0.123,"[0.19587, 0.14856, 0.0, 0.19014999999999999, 0.05883, 0.09826, 0.07166, 0.20772, 0.43699, 0.03571, 0.03628, 0.13832, 0.06362, 0.018369999999999997, 0.0, 0.19529, 0.0, 0.39685, 0.25969, 0.17608, 0.23213999999999999, 0.05931, 0.23736, 0.07367, 0.07659, 0.16088, 0.24987, 0.2461, 0.13763, 0.2731, 0.15805, 0.06786, 0.06804, 0.04654, 0.32044, 0.017, 0.28614, 0.25325, 0.2229, 0.19805999999999999, 0.06758, 0.0818, 0.28637, 0.14528, 0.22372, 0.11019999999999999, 0.22431, 0.2124, 0.17936, 0.19912, 0.0, 0.2527, 0.004, 0.12634, 0.27459, 0.0025, 0.20574, 0.19326, 0.4205, 0.0493, 0.26972, 0.24509, 0.06245, 0.27301, 0.40089, 0.05214, 0.0836, 0.14923999999999998, 0.35909, 0.32485, 0.05144, 0.06813999999999999, 0.37293, 0.15947, 0.003, 0.18928999999999999, 0.33355, 0.38752, 0.08272, 0.138, 0.26843, 0.13981, 0.0, 0.020909999999999998, 0.27325, 0.0, 0.16055, 0.29416, 0.0, 0.01358, 0.25773, 0.27059, 0.1317, 0.27737, 0.17334, 0.41191, 0.05829, 0.50463, 0.38203, 0.0]"
breastw,J,IForest,0.184,0.302,0.09,"[0.28417, 0.14138, 0.2043, 0.21124, 0.22652999999999998, 0.19444, 0.15028, 0.30683, 0.10024999999999999, 0.10795, 0.28232, 0.09303, 0.17796, 0.08055999999999999, 0.26558, 0.10058, 0.09881, 0.28092, 0.2046, 0.08191999999999999, 0.10633, 0.11907999999999999, 0.33759, 0.25911, 0.11679, 0.08581, 0.14832, 0.12753, 0.25001, 0.27394, 0.19972, 0.0658, 0.28909999999999997, 0.24368, 0.25883, 0.24408, 0.18723, 0.20888, 0.37058, 0.28814, 0.0, 0.11992, 0.09572, 0.09451, 0.23745, 0.12107, 0.23268, 0.19812, 0.16052, 0.03525, 0.30122, 0.19866999999999999, 0.0, 0.25623, 0.26794, 0.31429999999999997, 0.043840000000000004, 0.19712, 0.16432, 0.20602, 0.34405, 0.32141, 0.08529, 0.31179, 0.11579, 0.23271, 0.15087, 0.1576, 0.35609999999999997, 0.265, 0.08764, 0.11979, 0.32394, 0.03838, 0.11774, 0.2806, 0.2125, 0.09354, 0.04922, 0.10124, 0.11205, 0.16727999999999998, 0.08216, 0.27121, 0.2304, 0.23582999999999998, 0.03567, 0.07722, 0.06785, 0.07781, 0.26166, 0.2609, 0.26018, 0.29874, 0.12432, 0.11394, 0.21087999999999998, 0.23635, 0.17587, 0.32395]"
breastw,J,LOF,0.101,0.268,0.11,"[0.27233, 0.10583, 0.10707, 0.1481, 0.03952, 0.01608, 0.04271, 0.00333, 0.022770000000000002, 0, 0.005, 0.11563, 0.22786, 0.0, 0.02573, 0.26115, 0, 0.04571, 0.19, 0.09833, 0.02344, 0.00417, 0.12414, 0, 0.08027000000000001, 0.01591, 0.006, 0.02018, 0.12333, 0.061130000000000004, 0.002, 0, 0.02322, 0, 0.008, 0.011890000000000001, 0.28103, 0.23335, 0.12456, 0, 0, 0, 0.16597, 0.013770000000000001, 0, 0.1713, 0.07536999999999999, 0.03258, 0.0028599999999999997, 0.04531, 0.24023, 0.05121, 0, 0, 0.16711, 0.04468, 0, 0.11753, 0.01332, 0.002, 0.12739, 0.36173, 0.23856, 0, 0.29399000000000003, 0.10783, 0.37153, 0.02, 0.36039, 0.11246, 0.10111, 0.29207, 0.12031, 0, 0.004, 0.23638, 0, 0.14671, 0.25212, 0.30631, 0.08921, 0, 0.26798, 0, 0.21277000000000001, 0.14216, 0.02281, 0.24948, 0.02555, 0, 0.25768, 0.36993, 0.09045, 0.20069, 0.36022, 0.11354, 0, 0.17283, 0.06, 0]"
breastw,J,PCA,0.152,0.311,0.11,"[0.08914, 0.0, 0.09463, 0.10222, 0.21286, 0.003, 0.13955, 0.31727, 0.003, 0.37762, 0.02141, 0.10002, 0.05954, 0.1201, 0.16185, 0.01918, 0.0, 0.31879, 0.20299999999999999, 0.14968, 0.21048, 0.19862, 0.09961, 0.10117999999999999, 0.13668, 0.07741, 0.11402, 0.22548, 0.30643, 0.16194, 0.03434, 0.22355, 0.0994, 0.08734, 0.10494, 0.27042, 0.30061, 0.25568, 0.25518, 0.01379, 0.07022, 0.0168, 0.06107, 0.15999, 0.17393, 0.22939, 0.01376, 0.01608, 0.03821, 0.15605, 0.09323, 0.20448, 0.29756, 0.0, 0.22017, 0.08961999999999999, 0.20881, 0.07952, 0.11776, 0.03836, 0.32698, 0.20851, 0.04963, 0.34742, 0.25443, 0.07467, 0.15666, 0.33691, 0.20528, 0.3106, 0.04971, 0.34915999999999997, 0.39252, 0.16625, 0.10289, 0.11994, 0.26483, 0.04584, 0.09824, 0.09468, 0.0, 0.12903, 0.05684, 0.043660000000000004, 0.29386, 0.28599, 0.07535, 0.09679, 0.03215, 0.11649, 0.26364, 0.27816, 0.42206, 0.22305, 0.09443, 0.06343, 0.30228, 0.02139, 0.35168, 0.050649999999999994]"
breastw,J+,IForest,0.184,0.304,0.092,"[0.11223, 0.13439, 0.21162, 0.23149, 0.25739, 0.06087, 0.28054, 0.19541999999999998, 0.3263, 0.2351, 0.26061, 0.20967, 0.13689, 0.06865, 0.27767, 0.22947, 0.12515, 0.10849, 0.32997, 0.03504, 0.10478, 0.11287, 0.24076999999999998, 0.30271, 0.17141, 0.16838999999999998, 0.16352, 0.07902, 0.25111, 0.27832, 0.1922, 0.29394, 0.26344, 0.07082, 0.22916, 0.24286, 0.25314, 0.16568, 0.31078, 0.37074, 0.019479999999999997, 0.10048, 0.20103, 0.07468, 0.02049, 0.18938, 0.16061, 0.15721, 0.10199, 0.18587, 0.30299, 0.0, 0.25703, 0.19133, 0.04098, 0.26789, 0.29414, 0.19315, 0.21156, 0.15264, 0.34224, 0.23822, 0.11774, 0.32728, 0.34319, 0.08721999999999999, 0.12639999999999998, 0.14589, 0.25618, 0.35285, 0.08216999999999999, 0.10731, 0.10492, 0.32553, 0.28687, 0.04809, 0.19161999999999998, 0.11515, 0.04841, 0.11108, 0.13482, 0.13546, 0.22638, 0.04517, 0.28062, 0.19941, 0.0686, 0.10445, 0.06635, 0.07603, 0.20972, 0.27308, 0.25101, 0.30183, 0.09756, 0.19285, 0.17541, 0.32505, 0.11835, 0.17823]"
breastw,J+,LOF,0.102,0.262,0.11,"[0.10583, 0.01608, 0.26898, 0.04271, 0.022770000000000002, 0, 0.1461, 0.10707, 0.03952, 0.00333, 0.26115, 0, 0.0, 0.15863, 0, 0.02573, 0.22753, 0.09833, 0.04571, 0.19, 0.15164, 0.01844, 0.006, 0.00417, 0.028509999999999997, 0, 0.03426, 0.12333, 0.07989, 0.061130000000000004, 0.002, 0, 0, 0.011890000000000001, 0.27532, 0.12456, 0.02322, 0.23542, 0.008, 0, 0, 0, 0.16664, 0.00933, 0, 0.17166, 0.028900000000000002, 0.07536999999999999, 0.04531, 0.0028599999999999997, 0.24023, 0.05154, 0, 0.17261, 0, 0, 0.04468, 0.11753, 0.01632, 0.002, 0.12105, 0, 0.36145, 0.23967, 0.36753, 0.29202, 0.10783, 0.36011, 0.11284, 0.02, 0.09975, 0.27642, 0, 0.004, 0.12369, 0.23638, 0.14671, 0, 0.30730999999999997, 0.25019, 0.08986, 0, 0.25589, 0.2186, 0, 0.14383, 0.24948, 0, 0.02555, 0.02281, 0.25732, 0.36561, 0.20069, 0.09045, 0, 0.11354, 0.37329, 0.063, 0.17283, 0]"
breastw,J+,PCA,0.151,0.311,0.11,"[0.31727, 0.003, 0.10222, 0.09185, 0.08932, 0.13955, 0.21086, 0.0, 0.003, 0.37762, 0.01918, 0.0434, 0.10002, 0.02016, 0.1201, 0.14968, 0.206, 0.16185, 0.31879, 0.0, 0.20842, 0.13696, 0.19862, 0.09994, 0.11402, 0.30643, 0.10202, 0.14532, 0.22648, 0.07774, 0.22391, 0.03434, 0.09964, 0.10494, 0.08734, 0.25568, 0.27042, 0.30061, 0.01379, 0.25518, 0.0168, 0.07022, 0.06135, 0.15749, 0.22939, 0.15605, 0.17393, 0.0, 0.01608, 0.03821, 0.20295, 0.0, 0.29556, 0.06002, 0.09323, 0.22017, 0.20881, 0.07827, 0.11776, 0.03836, 0.32698, 0.23831, 0.3452, 0.07467, 0.20741, 0.15666, 0.04963, 0.3106, 0.20528, 0.33464, 0.11994, 0.34983, 0.04971, 0.09905, 0.09303, 0.16625, 0.39252, 0.09492, 0.04584, 0.26511, 0.0, 0.12903, 0.29386, 0.09516, 0.043660000000000004, 0.28599, 0.05575, 0.030209999999999997, 0.07535, 0.09679, 0.25984, 0.27916, 0.22305, 0.06343, 0.42206, 0.35168, 0.30261, 0.00888, 0.09566, 0.0435]"
breastw,CV,IForest,0.18,0.304,0.096,"[0.0912, 0.07099, 0.13087, 0.24067, 0.29792, 0.2158, 0.21454, 0.23455, 0.25618, 0.32036, 0.23305, 0.13893, 0.12563, 0.17036, 0.02591, 0.0, 0.27465, 0.2591, 0.06948, 0.32467, 0.11239, 0.07173, 0.22613, 0.24719, 0.13688, 0.27348, 0.15527, 0.1131, 0.08016, 0.30147, 0.22864, 0.15844, 0.29496, 0.2565, 0.19519999999999998, 0.07681, 0.20442, 0.3302, 0.25574, 0.34817, 0.03806, 0.042429999999999995, 0.003, 0.18622, 0.20205, 0.14465, 0.03663, 0.21698, 0.19279, 0.06425, 0.35231, 0.0, 0.17099, 0.20261, 0.29426, 0.22899, 0.25764, 0.04228, 0.18588, 0.20978, 0.34829, 0.13777, 0.15166, 0.31704, 0.11674, 0.37987, 0.11581999999999999, 0.25346, 0.33768, 0.13462, 0.08904, 0.06541999999999999, 0.15016, 0.27927, 0.1462, 0.02198, 0.28051, 0.0, 0.18848, 0.10192, 0.09386, 0.24092, 0.05636, 0.1683, 0.08942, 0.06931, 0.15112, 0.28468, 0.07561, 0.16323, 0.28566, 0.29045, 0.25209, 0.15635, 0.13138, 0.08676, 0.30277, 0.3145, 0.15618, 0.2148]"
breastw,CV,LOF,0.092,0.276,0.108,"[0.00804, 0.05441, 0.01599, 0.06398, 0.05949, 0, 0.10583, 0.02187, 0.27459, 0.03529, 0.008719999999999999, 0, 0.03001, 0.26367, 0, 0.22337, 0, 0.19, 0.06048, 0.0885, 0.07777, 0, 0.01599, 0.006, 0, 0.02018, 0.02517, 0.02362, 0.05319, 0.19267, 0, 0, 0, 0.00622, 0.17546, 0.004, 0.008, 0.24421, 0, 0.08207, 0, 0, 0.12927, 0, 0, 0.1755, 0, 0.08725, 0.0728, 0.06658, 0.24377000000000001, 0, 0.03095, 0, 0.034839999999999996, 0.15263, 0.11592, 0.005, 0, 0, 0.2302, 0.04011, 0.006, 0.35973, 0.1, 0.28979, 0.006, 0.14003000000000002, 0.29025, 0.34759, 0, 0.08818, 0.002, 0.0618, 0.2996, 0.23338, 0.23219, 0, 0.30071, 0.23374, 0.05162, 0.21288, 0, 0, 0.0714, 0.29497, 0.005719999999999999, 0.15766, 0, 0.005560000000000001, 0.29369, 0.19512000000000002, 0.06743, 0.37483, 0, 0.33684000000000003, 0.09916, 0.069, 0.12127, 0]"
breastw,CV,PCA,0.15,0.315,0.111,"[0.12421, 0.07771, 0.003, 0.02027, 0.09204, 0.16774, 0.0074399999999999996, 0.34121, 0.1229, 0.38625, 0.0, 0.08719, 0.0, 0.11851, 0.14716, 0.06195, 0.0, 0.32005, 0.17647000000000002, 0.20407, 0.23279, 0.11115, 0.09837, 0.09196, 0.10858, 0.04998, 0.01954, 0.22723, 0.15633, 0.30937, 0.20707, 0.05486, 0.11868, 0.07111, 0.27035, 0.26209, 0.28025, 0.09932, 0.081, 0.22427, 0.01823, 0.06974, 0.15216, 0.06634999999999999, 0.013399999999999999, 0.22413, 0.10828, 0.06285, 0.17543999999999998, 0.04046, 0.31141, 0.0, 0.17984, 0.0969, 0.21927, 0.22997, 0.0887, 0.11374000000000001, 0.10559, 0.0, 0.33001, 0.22294, 0.08452, 0.3559, 0.27205, 0.07211, 0.14875, 0.31477, 0.20409, 0.33329, 0.06292, 0.12529, 0.08054, 0.35344, 0.09734, 0.38842, 0.10012, 0.17702, 0.06457, 0.26076, 0.0, 0.11264, 0.043660000000000004, 0.025769999999999998, 0.26996, 0.003, 0.07964, 0.28389, 0.07517, 0.09757, 0.28517, 0.27516, 0.41995, 0.2157, 0.30918, 0.09062, 0.07825, 0.06498999999999999, 0.35433, 0.01026]"
