dataset,method,model,calib_size,mean,q90,std,raw
ionosphere,J+aB,PCA,100,0.299,0.445,0.101,"[0.2825, 0.49012, 0.29232, 0.34502, 0.30703, 0.276, 0.39337, 0.305, 0.28943, 0.43919, 0.22791, 0.37503000000000003, 0.37736000000000003, 0.16, 0.2295, 0.19, 0.37949, 0.46186, 0.40678000000000003, 0.44519000000000003, 0.1965, 0.21, 0.24767, 0.19441, 0.34217, 0.26, 0.30168, 0.46266, 0.27835, 0.46809, 0.19, 0.1025, 0.24, 0.26, 0.38919, 0.29336, 0.42584, 0.31846, 0.30058, 0.246, 0.255, 0.3, 0.43426, 0.27871, 0.18, 0.45158, 0.36102, 0.245, 0.13, 0.43932, 0.09333, 0.19, 0.197, 0.19, 0.45635000000000003, 0.19, 0.19, 0.24, 0.43420000000000003, 0.23618, 0.18, 0.18, 0.59249, 0.19, 0.2, 0.26283, 0.26, 0.266, 0.27, 0.3065, 0.22, 0.36586, 0.25351, 0.24, 0.19, 0.41602, 0.26, 0.47419, 0.43277, 0.2225, 0.2625, 0.41569, 0.40205, 0.48415, 0.32618, 0.44503, 0.37361, 0.2575, 0.26601, 0.27, 0.248, 0.22, 0.44185, 0.1875, 0.35584, 0.1875, 0.24, 0.3392, 0.27, 0.19]"
ionosphere,J+aB,PCA,200,0.599,0.691,0.073,"[0.59002, 0.62337, 0.53816, 0.61452, 0.56585, 0.72502, 0.71, 0.46116, 0.55703, 0.69885, 0.6213, 0.57353, 0.56367, 0.59, 0.49519, 0.64503, 0.52133, 0.56168, 0.62, 0.68686, 0.68847, 0.48741, 0.606, 0.625, 0.64336, 0.57668, 0.58175, 0.50818, 0.72, 0.53101, 0.68753, 0.60586, 0.54284, 0.64336, 0.72, 0.74, 0.49832, 0.53913, 0.59836, 0.56669, 0.63436, 0.7575, 0.63934, 0.62, 0.48753, 0.52472, 0.56932, 0.43314, 0.60565, 0.5065, 0.63, 0.6542, 0.45551, 0.655, 0.55718, 0.63, 0.53135, 0.64, 0.55233, 0.58085, 0.57685, 0.68269, 0.6, 0.60618, 0.623, 0.63, 0.68, 0.62, 0.75, 0.64986, 0.50586, 0.5902000000000001, 0.71, 0.69, 0.55468, 0.66003, 0.5837, 0.59302, 0.43873, 0.62002, 0.70586, 0.57153, 0.60485, 0.54138, 0.57052, 0.49146, 0.67385, 0.41269, 0.5655, 0.63, 0.56054, 0.6035, 0.65268, 0.58101, 0.66, 0.54335, 0.52585, 0.64087, 0.64, 0.62]"
ionosphere,J+aB,PCA,300,0.594,0.7,0.078,"[0.62936, 0.54649, 0.62002, 0.68936, 0.45196000000000003, 0.72185, 0.5877, 0.7155, 0.71, 0.56703, 0.6, 0.45788, 0.45135000000000003, 0.5665, 0.6313, 0.57919, 0.64503, 0.60119, 0.51461, 0.62, 0.64, 0.59767, 0.66772, 0.56675, 0.57017, 0.54168, 0.50485, 0.55158, 0.72, 0.53517, 0.55918, 0.68586, 0.5958600000000001, 0.61336, 0.735, 0.43167, 0.59836, 0.72, 0.56147, 0.51538, 0.7575, 0.62, 0.61319, 0.63936, 0.56765, 0.376, 0.63602, 0.48587, 0.5055000000000001, 0.5367, 0.63, 0.46075, 0.52885, 0.53742, 0.655, 0.56553, 0.63, 0.6342, 0.5842, 0.55733, 0.56017, 0.6, 0.7535, 0.62, 0.63, 0.623, 0.64184, 0.68, 0.75, 0.63651, 0.50669, 0.59103, 0.69, 0.58702, 0.7, 0.53651, 0.55551, 0.45472, 0.66253, 0.57419, 0.70036, 0.55919, 0.52004, 0.45824, 0.59052, 0.59302, 0.543, 0.39089, 0.603, 0.63, 0.57352, 0.57887, 0.59783, 0.6321, 0.54918, 0.66, 0.53089, 0.66753, 0.66, 0.62]"
ionosphere,J+aB,PCA,400,0.601,0.71,0.079,"[0.62437, 0.56703, 0.7135, 0.48046, 0.58014, 0.54649, 0.7218600000000001, 0.62002, 0.69086, 0.71, 0.66503, 0.43288, 0.62, 0.523, 0.49798, 0.57853, 0.54384, 0.67436, 0.63186, 0.60802, 0.62384, 0.59196, 0.64336, 0.50818, 0.5331, 0.67, 0.74, 0.56275, 0.54474, 0.52836, 0.68102, 0.55484, 0.71835, 0.65003, 0.6583600000000001, 0.59336, 0.55833, 0.48691, 0.60547, 0.72, 0.62, 0.59853, 0.7575, 0.48504, 0.56666, 0.65768, 0.51102, 0.5686100000000001, 0.6145, 0.43258, 0.63, 0.53052, 0.48258, 0.6325, 0.5672, 0.6342, 0.68836, 0.61919, 0.55733, 0.66, 0.59417, 0.6, 0.7535, 0.6275, 0.63, 0.618, 0.74, 0.63486, 0.62852, 0.73, 0.56586, 0.63, 0.5852, 0.71, 0.58702, 0.62002, 0.54859, 0.55301, 0.3807, 0.61419, 0.55004, 0.59485, 0.49504, 0.42662, 0.62085, 0.3918, 0.59052, 0.55135, 0.72, 0.6905, 0.5997, 0.64768, 0.58184, 0.59951, 0.52667, 0.53669, 0.68, 0.62, 0.5692, 0.71]"
ionosphere,J+aB,PCA,500,0.594,0.693,0.075,"[0.5920300000000001, 0.69086, 0.61502, 0.5922000000000001, 0.50315, 0.71, 0.6655, 0.68003, 0.62437, 0.47046, 0.54534, 0.56868, 0.5797, 0.62802, 0.5975, 0.52133, 0.63119, 0.62, 0.42517, 0.60503, 0.62384, 0.67, 0.64119, 0.5885, 0.52836, 0.51152, 0.51394, 0.5525100000000001, 0.71, 0.54975, 0.68769, 0.71835, 0.56484, 0.6317, 0.59003, 0.72, 0.60618, 0.48724, 0.60336, 0.43833, 0.62, 0.72503, 0.63353, 0.6145, 0.65518, 0.48587, 0.57278, 0.53617, 0.42675, 0.50102, 0.48077, 0.60585, 0.63, 0.53052, 0.6125, 0.715, 0.55385, 0.66, 0.60434, 0.62919, 0.55917, 0.6, 0.73019, 0.6275, 0.59135, 0.6275, 0.62452, 0.68, 0.73, 0.66286, 0.57669, 0.5852, 0.71, 0.62002, 0.62, 0.53702, 0.55301, 0.55301, 0.44009, 0.62418, 0.49088, 0.54003, 0.6587, 0.40008, 0.58335, 0.63053, 0.45731, 0.56968, 0.72, 0.56802, 0.59054, 0.65185, 0.56352, 0.52335, 0.5692, 0.57116, 0.68, 0.53669, 0.64, 0.62]"
ionosphere,J+aB,PCA,600,0.601,0.701,0.077,"[0.5887, 0.61086, 0.61937, 0.6575, 0.54483, 0.58804, 0.57502, 0.69686, 0.48046, 0.71, 0.63, 0.45135000000000003, 0.62885, 0.67503, 0.57447, 0.67186, 0.5847, 0.53408, 0.64302, 0.52133, 0.59017, 0.62384, 0.64119, 0.7, 0.54975, 0.54477, 0.51152, 0.74, 0.54168, 0.5515100000000001, 0.68102, 0.735, 0.58836, 0.6467, 0.55418, 0.47833, 0.48191, 0.63336, 0.62747, 0.72, 0.625, 0.7575, 0.61853, 0.56582, 0.57178, 0.6175, 0.67184, 0.49587000000000003, 0.50519, 0.40923, 0.51214, 0.6225, 0.66, 0.55385, 0.66, 0.53052, 0.6342, 0.715, 0.556, 0.60919, 0.57685, 0.6275, 0.59118, 0.71602, 0.635, 0.6, 0.69, 0.73, 0.62852, 0.63619, 0.60351, 0.56586, 0.71, 0.5787, 0.53418, 0.61753, 0.42571000000000003, 0.55051, 0.69, 0.60418, 0.68786, 0.54003, 0.49241, 0.57668, 0.6222, 0.62054, 0.42787000000000003, 0.59751, 0.72, 0.39981, 0.57352, 0.6847, 0.66, 0.54335, 0.54949, 0.64768, 0.5392, 0.68, 0.53669, 0.64]"
ionosphere,J+aB,PCA,700,0.593,0.69,0.072,"[0.47413, 0.61502, 0.69786, 0.54483, 0.59103, 0.69086, 0.61937, 0.71, 0.58018, 0.57804, 0.59803, 0.426, 0.57853, 0.53575, 0.61503, 0.62802, 0.60187, 0.523, 0.63, 0.63119, 0.62385, 0.60184, 0.60119, 0.5515100000000001, 0.53824, 0.69, 0.53252, 0.67, 0.54339, 0.51152, 0.68919, 0.55918, 0.6467, 0.61336, 0.72, 0.6538, 0.71835, 0.59835, 0.55833, 0.41019, 0.625, 0.63436, 0.7242, 0.67184, 0.49670000000000003, 0.57278, 0.53584, 0.50519, 0.59486, 0.39357, 0.51214, 0.53135, 0.65, 0.55385, 0.6225, 0.61253, 0.705, 0.64, 0.6142, 0.53101, 0.57685, 0.65102, 0.6, 0.625, 0.59118, 0.6225, 0.69, 0.63, 0.63102, 0.65636, 0.51669, 0.61919, 0.60351, 0.63, 0.71, 0.53659, 0.57953, 0.43938, 0.54301, 0.61419, 0.54003, 0.49408, 0.44655, 0.64786, 0.39906, 0.59485, 0.56751, 0.6062, 0.6072, 0.7025, 0.5997, 0.65268, 0.57352, 0.5592, 0.68, 0.54418, 0.53669, 0.55866, 0.68, 0.62]"
ionosphere,J+aB,PCA,800,0.599,0.69,0.072,"[0.69769, 0.48046, 0.64335, 0.61937, 0.60553, 0.6655, 0.71, 0.57804, 0.58364, 0.69086, 0.65051, 0.45203, 0.63119, 0.64503, 0.60802, 0.54158, 0.523, 0.62154, 0.63, 0.5797, 0.66, 0.58033, 0.60119, 0.53824, 0.61217, 0.56152, 0.55274, 0.54339, 0.71, 0.54168, 0.56518, 0.68836, 0.65003, 0.59835, 0.67518, 0.63014, 0.55833, 0.72, 0.38175, 0.64336, 0.63, 0.72503, 0.63436, 0.64184, 0.5367, 0.54617, 0.57278, 0.59432, 0.42823, 0.52519, 0.50833, 0.66, 0.55302, 0.53052, 0.63, 0.6342, 0.715, 0.64, 0.556, 0.64169, 0.6, 0.55517, 0.6275, 0.65602, 0.59135, 0.625, 0.62602, 0.63, 0.74, 0.65136, 0.60351, 0.56669, 0.71, 0.60453, 0.69, 0.61919, 0.53484, 0.42386, 0.61419, 0.54051, 0.64786, 0.54003, 0.6262, 0.43729, 0.50088, 0.58335, 0.39924, 0.6072, 0.7025, 0.58751, 0.59469, 0.58184, 0.64285, 0.55932, 0.54335, 0.68, 0.5692, 0.53669, 0.6325, 0.68]"
ionosphere,J+aB,PCA,900,0.596,0.69,0.074,"[0.58364, 0.61086, 0.61937, 0.62002, 0.56567, 0.71, 0.56803, 0.53162, 0.72503, 0.665, 0.62612, 0.57853, 0.67503, 0.53492, 0.49798, 0.65051, 0.62301, 0.523, 0.63286, 0.63, 0.61884, 0.596, 0.66, 0.54339, 0.56152, 0.60336, 0.55774, 0.52491, 0.64, 0.52835, 0.55918, 0.68836, 0.71835, 0.63336, 0.6467, 0.55747, 0.59668, 0.72, 0.41137, 0.43833, 0.625, 0.62886, 0.7242, 0.64184, 0.49753000000000003, 0.53046, 0.40148, 0.5686100000000001, 0.61569, 0.50619, 0.50833, 0.705, 0.66, 0.60583, 0.53052, 0.55302, 0.53067, 0.64, 0.6142, 0.62503, 0.56501, 0.66102, 0.59135, 0.625, 0.6, 0.6275, 0.69, 0.62102, 0.73, 0.66136, 0.56669, 0.57186, 0.69, 0.71, 0.6242, 0.57853, 0.53509, 0.59635, 0.41633, 0.61419, 0.54003, 0.64786, 0.45504, 0.43687, 0.39924, 0.58335, 0.60053, 0.6322, 0.5863700000000001, 0.7025, 0.68802, 0.57352, 0.65085, 0.55432, 0.55418, 0.68, 0.66, 0.5592, 0.53669, 0.64]"
ionosphere,J+aB,PCA,1000,0.595,0.695,0.073,"[0.67553, 0.58364, 0.71, 0.48412, 0.63502, 0.61086, 0.56803, 0.58168, 0.61937, 0.57067, 0.53708, 0.61854, 0.56074, 0.57403, 0.67503, 0.60301, 0.523, 0.46814, 0.63, 0.62786, 0.61884, 0.581, 0.60119, 0.55274, 0.68, 0.53032, 0.53491, 0.56152, 0.64, 0.52836, 0.55818, 0.64753, 0.68836, 0.63336, 0.71752, 0.59335, 0.56747, 0.41593, 0.72, 0.45833, 0.625, 0.72503, 0.62886, 0.60684, 0.50003, 0.5667, 0.61369, 0.57278, 0.43148, 0.51102, 0.71, 0.503, 0.55302, 0.53052, 0.715, 0.63, 0.66, 0.6242, 0.52768, 0.63336, 0.55417, 0.65019, 0.6, 0.59135, 0.64, 0.6275, 0.63102, 0.73, 0.63, 0.65636, 0.57669, 0.69, 0.5852, 0.57953, 0.55052, 0.64919, 0.71, 0.53049, 0.42342, 0.61419, 0.54003, 0.62786, 0.41621, 0.49088, 0.58335, 0.62053, 0.6072, 0.39924, 0.58751, 0.697, 0.69469, 0.57435, 0.55682, 0.58335, 0.7025, 0.63918, 0.53669, 0.57087, 0.66, 0.64]"
