dataset,method,model,calib_size,mean,q90,std,raw
breastw,JaB,PCA,100,0.612,0.834,0.243,"[0.92, 0.69778, 0.81606, 0.83367, 0.82052, 0.11908, 0.83272, 0.72048, 0.70397, 0.58624, 0.67916, 0.55083, 0.38, 0.62576, 0.87428, 0.77481, 0.8605, 0.0375, 0.69364, 0.677, 0.82181, 0.86603, 0.72811, 0.20986, 0.77533, 0.46056, 0.64697, 0.59388, 0.66874, 0.62187, 0.27511, 0.55024, 0.03625, 0.83652, 0.52, 0.79636, 0.73538, 0.25269, 0.47354999999999997, 0.72881, 0.59, 0.54375, 0.75423, 0.23, 0.8025, 0.81442, 0.78828, 0.83082, 0.73625, 0.59125, 0.85, 0.69316, 0.80373, 0.63636, 0.50445, 0.15029, 0.76832, 0.82072, 0.67731, 0.80498, 0.48037, 0, 0.67, 0.14, 0.81054, 0.63292, 0.69903, 0.63788, 0, 0.67792, 0.81181, 0.79471, 0.75465, 0.64026, 0.58812, 0.66117, 0.74574, 0.60887, 0.82623, 0.73696, 0, 0.275, 0.25848, 0.75021, 0.92158, 0.71753, 0.06125, 0.65245, 0.87227, 0.61653, 0.64699, 0.87559, 0.74261, 0.73338, 0.76589, 0.51655, 0.57353, 0.83875, 0.14, 0.12357]"
breastw,JaB,PCA,200,0.762,0.926,0.142,"[0.93436, 0.88868, 0.79149, 0.80606, 0.64, 0.57695, 0.70277, 0.85135, 0.76268, 0.33, 0.93086, 0.89153, 0.9062, 0.87751, 0.97, 0.85024, 0.58055, 0.79964, 0.68349, 0.65668, 0.7723099999999999, 0.60628, 0.83301, 0.79414, 0.95188, 0.73507, 0.74692, 0.68899, 0.73854, 0.66702, 0.86103, 0.67205, 0.91169, 0.69293, 0.84141, 0.68446, 1.0, 0.63271, 0.73154, 0.60503, 0.76442, 0.95, 0.58375, 0.87625, 0.7668, 0.95, 0.81498, 0.85827, 0.87185, 0.89406, 0.68485, 0.9, 0.79156, 0.60303, 0.68761, 0.76712, 0.86797, 0.64816, 0.70261, 0.77823, 0.69508, 0.61639, 0.68, 0.61817, 0.82665, 0.68625, 0.81729, 0.96508, 0.64557, 0.64032, 0.57855, 0.88075, 0.57535, 0.73904, 0.88704, 0.60887, 0.75333, 0.88977, 0.92787, 0.8239, 0, 0.93634, 0.793, 0.87888, 0.72445, 0.92531, 0.77228, 0.92278, 0.8595, 0.74907, 0.67742, 0.86333, 0.575, 0.77033, 0.69559, 0.8286, 0.7593, 0.75, 0.69114, 0.83605]"
breastw,JaB,PCA,300,0.769,0.912,0.128,"[0.81427, 0.7931, 0.85747, 0.84172, 0.79834, 0.68876, 0.68045, 0.76556, 0.54819, 0.74, 0.85906, 0.86712, 0.91428, 0.88843, 0.86259, 0.80449, 0.8083, 0.97, 0.67851, 0.79185, 0.72877, 0.78392, 0.70641, 0.81965, 0.79406, 0.63104, 0.85956, 0.73427, 0.68748, 0.66212, 0.93306, 0.87178, 0.61882, 0.85743, 0.68043, 0.74927, 0.75815, 0.997, 0.66798, 0.73393, 0.91652, 0.77718, 0.58, 0.86625, 0.92, 0.80459, 0.76655, 0.92181, 0.81589, 0.98625, 0.7059, 0.89, 0.76723, 0.74793, 0.83443, 0.79452, 0.59802, 0.57018, 0.83408, 0.78769, 0.68353, 0.76887, 0.82202, 0.5991, 0.68442, 0.82612, 0.71703, 0.85301, 0.63857, 0.63653, 0.87917, 0.69041, 0.79068, 0.57248, 0.60887, 0.91148, 0.87314, 0.66388, 0.84168, 0.76557, 0.93634, 0.8253, 0.04, 0.80313, 0.70911, 0.67103, 0.90024, 0.7384, 0.91969, 0.77521, 0.72177, 0.73174, 0.77352, 0.53453, 0.7028, 0.91154, 0.81446, 0.88996, 0.88695, 0.6137]"
breastw,JaB,PCA,400,0.796,0.946,0.119,"[0.79014, 0.87052, 0.85312, 0.88596, 0.81871, 0.53334, 0.77582, 0.8475, 0.66274, 0.84791, 0.77388, 0.89768, 0.8461, 0.94344, 0.97486, 0.90501, 0.84459, 0.87349, 0.65091, 0.79229, 0.77835, 0.70276, 0.7855, 0.82121, 0.79541, 0.81635, 0.95111, 0.73854, 0.74144, 0.67915, 0.91657, 0.86878, 0.69464, 0.80406, 0.58741, 0.7174200000000001, 0.99538, 0.7813, 0.74341, 0.68466, 0.8875, 0.94784, 0.78412, 0.8343, 0.94784, 0.99, 0.76838, 0.82238, 0.98624, 0.9401, 0.70227, 1.0, 0.81066, 0.65574, 0.62949, 0.83729, 0.78822, 0.82093, 0.82035, 0.56254, 0.66727, 0.78321, 0.86737, 0.86157, 0.61447, 0.75506, 0.8580099999999999, 0.81477, 0.62744, 0.63653, 0.87788, 0.79251, 0.52486, 0.8593999999999999, 0.94561, 0.60838, 0.88219, 0.60795, 0.84066, 0.74992, 0.51, 0.86677, 0.93025, 0.87281, 0.67845, 0.87657, 0.94634, 0.9215, 0.71286, 0.85459, 0.70718, 0.71379, 0.94154, 0.69646, 0.52611, 0.7739, 0.87577, 0.5892, 0.95406, 0.94668]"
breastw,JaB,PCA,500,0.794,0.928,0.14,"[0.86659, 0.81871, 0.8305, 0.88228, 0.90817, 0.65328, 0.75689, 0.87387, 0.79475, 0.55598, 0.90452, 0.9232899999999999, 0.94344, 0.90064, 0.84868, 0.89929, 0.84421, 0.79544, 0.6662, 0.98, 0.72776, 0.90558, 0.7700899999999999, 0.71772, 0.8684, 0.83464, 0.82878, 0.74342, 0.67799, 0.73124, 0.91657, 0.88108, 0.85275, 0.58138, 0.84908, 0.70142, 1.0, 0.74293, 0.77446, 0.7241, 0.95936, 0.90321, 0.81128, 0.96784, 0.98375, 0.8306, 0.79642, 0.90897, 0.76663, 0.97624, 0.68192, 0.79316, 1.0, 0.66303, 0.77392, 0.58479, 0.84542, 0.8057, 0.84313, 0.40668, 0.68586, 0.59688, 0.75784, 0.74077, 0.80658, 0.91166, 0.86155, 0.63857, 0.78462, 0.65379, 0.87888, 0.84827, 0.8792, 0.84204, 0.60651, 0.8185, 0.92677, 0.88169, 0.60677, 0.7484999999999999, 0.05, 0.87447, 0.95634, 0.85906, 0.85242, 0.65026, 0.93025, 0.72611, 0.92302, 0.81435, 0.60189, 0.73104, 0.77718, 0.68227, 0.51341, 0.92811, 0.88171, 0.8977, 0.5892, 0.92821]"
breastw,JaB,PCA,600,0.792,0.948,0.133,"[0.85443, 0.86305, 0.7871900000000001, 0.90396, 0.87203, 0.65641, 0.76823, 0.56266, 0.735, 0.80909, 0.97859, 0.90138, 0.89479, 0.91546, 0.92344, 0.98, 0.84266, 0.66524, 0.79418, 0.85506, 0.72673, 0.79591, 0.87129, 0.74241, 0.73882, 0.81213, 0.83532, 0.8440799999999999, 0.76585, 0.68209, 0.9176, 0.86878, 0.84761, 0.79386, 0.62781, 0.77399, 0.70108, 1.0, 0.73354, 0.79623, 0.95674, 0.86, 0.78859, 0.96287, 0.76737, 0.9825, 0.82436, 0.8227, 0.89785, 0.94819, 0.67686, 1.0, 0.74336, 0.65197, 0.76624, 0.78965, 0.60897, 0.8339799999999999, 0.56254, 0.83213, 0.68586, 0.89949, 0.79359, 0.58182, 0.74244, 0.79507, 0.823, 0.84546, 0.67876, 0.65956, 0.59934, 0.89904, 0.9261199999999999, 0.74536, 0.87737, 0.88387, 0.84259, 0.60672, 0.73454, 0.82634, 0.8671, 0.13, 0.95634, 0.8801, 0.92063, 0.86261, 0.95001, 0.58279, 0.72741, 0.64257, 0.77751, 0.73024, 0.89485, 0.88288, 0.52299, 0.58829, 0.68476, 0.93595, 0.95778, 0.58998]"
breastw,JaB,PCA,700,0.797,0.927,0.123,"[0.80975, 0.8036, 0.89717, 0.78809, 0.63494, 0.8835, 0.73725, 0.59834, 0.82923, 0.85502, 1.0, 0.90259, 0.91045, 0.8937, 0.65442, 0.88933, 0.99, 0.84591, 0.84373, 0.79098, 0.72673, 0.87272, 0.79105, 0.82717, 0.88092, 0.83878, 0.79165, 0.79633, 0.67403, 0.76658, 0.86556, 0.88108, 0.86907, 0.87987, 0.70186, 0.99038, 0.57916, 0.73527, 0.77364, 0.80225, 0.95707, 0.86, 0.79897, 0.82986, 0.94223, 0.98375, 0.89847, 0.82539, 0.77413, 0.91428, 0.6853899999999999, 0.76129, 1.0, 0.67857, 0.78971, 0.77965, 0.81452, 0.81971, 0.79935, 0.60429, 0.67438, 0.71386, 0.7458, 0.84912, 0.62147, 0.84819, 0.79113, 0.80691, 0.65776, 0.65213, 0.8786, 0.84747, 0.84827, 0.84521, 0.60515, 0.9302, 0.89411, 0.60672, 0.82496, 0.74691, 0.19, 0.85512, 0.90001, 0.95301, 0.65912, 0.64335, 0.8811, 0.72578, 0.86512, 0.9232, 0.72391, 0.77805, 0.7338, 0.5155, 0.6854, 0.92678, 0.89571, 0.76381, 0.94043, 0.5892]"
breastw,JaB,PCA,800,0.801,0.925,0.109,"[0.83011, 0.85893, 0.88369, 0.86407, 0.74104, 0.57513, 0.73084, 0.6383, 0.7937, 0.83493, 0.98, 0.91546, 0.90794, 0.9023599999999999, 0.8418, 0.85318, 0.8826, 0.98, 0.79098, 0.67851, 0.72641, 0.90239, 0.73194, 0.82086, 0.8428599999999999, 0.79876, 0.79298, 0.75757, 0.83711, 0.67441, 0.87088, 0.86034, 0.80544, 0.88072, 0.56334, 0.7037100000000001, 0.76625, 0.99038, 0.73393, 0.79422, 0.95707, 0.93883, 0.80997, 0.8675, 0.98678, 0.77413, 0.81814, 0.82522, 0.90897, 0.95228, 0.68263, 1.0, 0.7422300000000001, 0.66851, 0.78617, 0.58354, 0.77049, 0.83769, 0.68582, 0.86771, 0.64987, 0.84755, 0.86097, 0.71586, 0.61048, 0.75939, 0.81764, 0.65546, 0.65776, 0.79981, 0.87656, 0.87773, 0.87149, 0.87188, 0.60795, 0.61695, 0.88219, 0.76171, 0.83416, 0.91644, 0.95634, 0.62, 0.85053, 0.86808, 0.67758, 0.91838, 0.9014, 0.71616, 0.78709, 0.9232, 0.71763, 0.72966, 0.52894, 0.77791, 0.6854, 0.86288, 0.92149, 0.59621, 0.82976, 0.95778]"
breastw,JaB,PCA,900,0.797,0.925,0.117,"[0.87086, 0.85042, 0.86203, 0.6441, 0.74413, 0.59188, 0.73569, 0.88127, 0.83493, 0.79403, 0.9825, 0.90212, 0.91546, 0.94617, 0.84148, 0.85601, 0.65346, 0.84563, 0.98, 0.79328, 0.91129, 0.72927, 0.78324, 0.84862, 0.74839, 0.83286, 0.82241, 0.76658, 0.77064, 0.67403, 0.79626, 0.88324, 0.81116, 0.55831, 0.81182, 0.73938, 0.69431, 0.89092, 0.74421, 0.76834, 0.95041, 0.87909, 0.81368, 0.98392, 0.80151, 0.92147, 0.82157, 0.77413, 0.90897, 0.96954, 0.51357, 0.78064, 1.0, 0.58692, 0.68263, 0.86136, 0.8779, 0.7209, 0.84026, 0.79942, 0.67545, 0.61183, 0.83486, 0.71528, 0.75841, 0.8484, 0.79626, 0.79843, 0.65956, 0.65546, 0.88104, 0.86911, 0.61878, 0.901, 0.89934, 0.87188, 0.88219, 0.60784, 0.83263, 0.74611, 0.86808, 0.4, 0.95634, 0.85743, 0.67569, 0.91322, 0.90001, 0.71177, 0.9232, 0.85793, 0.73038, 0.6737299999999999, 0.52032, 0.67747, 0.77641, 0.84949, 0.86599, 0.93904, 0.60926, 0.96918]"
breastw,JaB,PCA,1000,0.803,0.931,0.109,"[0.82178, 0.63424, 0.88154, 0.78773, 0.86324, 0.88383, 0.81371, 0.71042, 0.58189, 0.74229, 0.90245, 0.99, 0.93115, 0.92053, 0.8170499999999999, 0.98, 0.84476, 0.6662, 0.84444, 0.79769, 0.72774, 0.90077, 0.74157, 0.84838, 0.84413, 0.78102, 0.72362, 0.77344, 0.79226, 0.67441, 0.76855, 0.88108, 0.86784, 0.91445, 0.69477, 0.92184, 0.60123, 0.73969, 0.74385, 0.78489, 0.88196, 0.95041, 0.83529, 0.98678, 0.77012, 0.93929, 0.79538, 0.8219, 0.91097, 0.98625, 0.7594, 0.68227, 1.0, 0.59336, 0.89164, 0.78666, 0.62265, 0.86943, 0.84026, 0.79795, 0.67536, 0.70893, 0.66688, 0.88115, 0.62519, 0.82735, 0.79307, 0.82813, 0.65776, 0.6294, 0.87188, 0.87055, 0.62658, 0.87501, 0.87806, 0.91866, 0.60759, 0.87403, 0.83263, 0.74602, 0.85568, 0.73, 0.95634, 0.82718, 0.93309, 0.89797, 0.66883, 0.71387, 0.92296, 0.85793, 0.73356, 0.72811, 0.68166, 0.53147, 0.77543, 0.86534, 0.88692, 0.93345, 0.61303, 0.9245099999999999]"
breastw,J+aB,PCA,100,0.599,0.824,0.245,"[0.8144, 0.92636, 0.67528, 0.82002, 0.83367, 0.48642, 0.70397, 0.72048, 0.58899, 0, 0.63015, 0.41, 0.87757, 0.53083, 0.67672, 0.8877, 0.80209, 0.61826, 0.0375, 0.69424, 0.70157, 0.81639, 0.44181, 0.1936, 0.86547, 0.64611, 0.777, 0.5906, 0.59544, 0.66886, 0.23636, 0.55131, 0.86639, 0.03625, 0.52, 0.23583, 0.74925, 0.73538, 0.44096, 0.73611, 0.49, 0.74336, 0.54375, 0.23, 0.78828, 0.76375, 0.83049, 0.81282, 0.74431, 0.78429, 0.00875, 0.70748, 0.7828, 0.86, 0.80373, 0.64081, 0.51015, 0.82311, 0.67731, 0.80545, 0.65, 0.46999, 0.62759, 0.63188, 0.6987, 0.12, 0.81054, 0, 0.6813, 0.63598, 0.77435, 0.81181, 0.61936, 0.71591, 0.60797, 0.60887, 0.81625, 0.51778, 0.7539, 0.73063, 0, 0, 0.24973, 0.275, 0.90158, 0.71839, 0.64245, 0.76077, 0.85411, 0.59653, 0.55719, 0.54696, 0.74261, 0.51171, 0.70602, 0.2925, 0.73646, 0.12746, 0.13, 0.81875]"
breastw,J+aB,PCA,200,0.755,0.922,0.148,"[0.89618, 0.95742, 0.76072, 0.7424, 0.64505, 0.85028, 0.83424, 0.59783, 0.70277, 0.334, 0.87787, 0.83346, 0.90625, 0.92179, 0.89866, 0.80087, 0.65668, 0.58055, 0.95028, 0.68557, 0.60604, 0.75138, 0.76376, 0.76242, 0.83163, 0.67794, 0.96407, 0.69273, 0.76567, 0.66157, 0.93897, 0.8607899999999999, 0.66103, 0.80788, 0.70186, 0.68553, 1.0, 0.62118, 0.68997, 0.71965, 0.94, 0.81059, 0.7670399999999999, 0.56, 0.95, 0.87625, 0.8588, 0.87161, 0.82532, 0.75198, 0.69391, 0.75348, 0.89, 0.7899, 0.28717, 0.77517, 0.64186, 0.879, 0.80747, 0.78502, 0.69515, 0.62154, 0.61639, 0.67, 0.6675, 0.83226, 0.81693, 0.75, 0.6632, 0.67775, 0.44812, 0.88047, 0.56211, 0.88606, 0.7108599999999999, 0.60887, 0.82014, 0.88929, 0.84171, 0.74565, 0, 0.78535, 0.87525, 0.93634, 0.74345, 0.76495, 0.77243, 0.94403, 0.92278, 0.85526, 0.74291, 0.72572, 0.77033, 0.69512, 0.58069, 0.70698, 0.82179, 0.83375, 0.7593, 0.73]"
breastw,J+aB,PCA,300,0.771,0.911,0.13,"[0.83419, 0.84641, 0.80963, 0.68188, 0.55369, 0.71115, 0.87442, 0.84102, 0.49, 0.83481, 0.91844, 0.8833799999999999, 0.86203, 0.66965, 0.9066, 0.80462, 0.90763, 0.97, 0.82607, 0.79342, 0.72975, 0.36386999999999997, 0.62104, 0.73882, 0.73128, 0.95455, 0.7352299999999999, 0.81467, 0.72892, 0.67026, 0.86953, 0.75782, 0.68996, 0.81513, 0.89903, 0.62427, 0.74797, 1.0, 0.74066, 0.63507, 0.92856, 0.77347, 0.58, 0.81491, 0.91, 0.81519, 0.8248, 0.86625, 0.99, 0.92181, 0.70887, 0.89, 0.79255, 0.5984, 0.84805, 0.9002, 0.5818, 0.75912, 0.74333, 0.8314, 0.6817799999999999, 0.70542, 0.77164, 0.60673, 0.87296, 0.77555, 0.84683, 0.82834, 0.65246, 0.63595, 0.87889, 0.7647, 0.57063, 0.72076, 0.60723, 0.76764, 0.87127, 0.88219, 0.84168, 0.76401, 0.23, 0.80634, 0.89024, 0.82695, 0.93634, 0.6588, 0.7424, 0.79435, 0.91933, 0.70839, 0.70729, 0.77352, 0.72956, 0.88981, 0.52985, 0.94375, 0.69892, 0.60381, 0.88996, 0.77821]"
breastw,J+aB,PCA,400,0.794,0.951,0.135,"[0.89246, 0.80108, 0.92766, 0.78541, 0.84803, 0.7752, 0.62729, 0.65824, 0.82185, 0.54578, 0.8821, 0.91266, 0.77909, 0.81577, 0.6813, 0.87516, 0.99, 0.84402, 0.79235, 0.94344, 0.75217, 0.80071, 0.72601, 0.78427, 0.95078, 0.83329, 0.78527, 0.7904, 0.67965, 0.73763, 0.93664, 0.85738, 0.8684499999999999, 0.71186, 0.65399, 0.98621, 0.70081, 0.77333, 0.73864, 0.73516, 0.86226, 0.8875, 0.94936, 0.95145, 0.99, 0.78368, 0.82139, 0.78488, 0.99, 0.9482, 1.0, 0.70966, 0.8015, 0.75147, 0.77338, 0.83436, 0.83672, 0.88535, 0.59842, 0.57629, 0.66552, 0.82207, 0.83671, 0.6127900000000001, 0.82409, 0.78672, 0.86146, 0.85881, 0.63857, 0.63653, 0.8776, 0.82721, 0.61893, 0.81592, 0.42932, 0.88169, 0.60651, 0.96019, 0.82468, 0.75895, 0.17, 0.94634, 0.92695, 0.86895, 0.66193, 0.88857, 0.91037, 0.9215, 0.72507, 0.85339, 0.58052, 0.73013, 0.7744, 0.53602, 0.69547, 0.88588, 0.95406, 0.59815, 0.97861, 0.95778]"
breastw,J+aB,PCA,500,0.794,0.946,0.142,"[0.75059, 0.94538, 0.65487, 0.9099700000000001, 0.86306, 0.55977, 0.85976, 0.86958, 0.7666499999999999, 0.72025, 0.90378, 0.92191, 0.9135, 0.94344, 0.6783, 0.84565, 0.8999, 0.84451, 0.98, 0.79542, 0.71794, 0.86367, 0.84687, 0.86683, 0.7804, 0.79506, 0.74663, 0.76658, 0.79042, 0.67367, 0.93664, 0.81505, 0.88108, 0.9089, 1.0, 0.70499, 0.52772, 0.77659, 0.77142, 0.74341, 0.99, 0.94936, 0.90694, 0.82843, 0.95784, 0.78633, 0.80229, 0.84304, 0.9401, 0.99, 0.98, 0.68084, 0.68874, 0.75669, 0.83434, 0.784, 0.59091, 0.84386, 0.39668, 0.83048, 0.73815, 0.70532, 0.60516, 0.84457, 0.89166, 0.72952, 0.81977, 0.65377, 0.79965, 0.67065, 0.87806, 0.61793, 0.88169, 0.84731, 0.60823, 0.82828, 0.64736, 0.91098, 0.83189, 0.76006, 0.05, 0.87711, 0.63777, 0.86111, 0.95634, 0.87942, 0.89, 0.71453, 0.92302, 0.69206, 0.67162, 0.77579, 0.72797, 0.95042, 0.67967, 0.87016, 0.5273, 0.97861, 0.59309, 0.94446]"
breastw,J+aB,PCA,600,0.797,0.949,0.122,"[0.90396, 0.84768, 0.87696, 0.93149, 0.8265, 0.58004, 0.65442, 0.73569, 0.78988, 0.7883, 0.90175, 0.79477, 0.90319, 0.99375, 0.65091, 0.89046, 0.92344, 0.99, 0.85506, 0.84352, 0.90397, 0.73417, 0.84964, 0.78709, 0.81427, 0.71761, 0.76708, 0.86866, 0.6791699999999999, 0.72745, 0.9066, 0.8215, 0.80118, 0.8684499999999999, 0.70617, 0.63231, 0.76506, 0.7411, 0.78796, 0.99538, 0.77334, 0.94984, 0.98375, 0.8575, 0.94903, 0.8257099999999999, 0.82696, 0.95812, 0.89511, 0.76737, 0.67688, 1.0, 0.79658, 0.78965, 0.66466, 0.7714, 0.83731, 0.82963, 0.615, 0.70713, 0.68885, 0.74345, 0.73736, 0.86487, 0.60446, 0.85561, 0.81896, 0.65671, 0.795, 0.64082, 0.87709, 0.59414, 0.84503, 0.7945, 0.8821, 0.9246, 0.60748, 0.90225, 0.82468, 0.73515, 0.27, 0.92, 0.61465, 0.86573, 0.95301, 0.87214, 0.69206, 0.91969, 0.72997, 0.87158, 0.6944899999999999, 0.514, 0.77612, 0.7259099999999999, 0.895, 0.68659, 0.78231, 0.95778, 0.58998, 0.97861]"
breastw,J+aB,PCA,700,0.801,0.943,0.121,"[0.81534, 0.89669, 0.90974, 0.9099700000000001, 0.79332, 0.65641, 0.81333, 0.7303999999999999, 0.6117, 0.81291, 0.99, 0.63756, 0.79008, 0.84513, 0.98, 0.87369, 0.91084, 0.83999, 0.90488, 0.88924, 0.72637, 0.79697, 0.8202, 0.67965, 0.90498, 0.83116, 0.79158, 0.73882, 0.86487, 0.82694, 0.87068, 0.88108, 0.70301, 0.90942, 0.99038, 0.76182, 0.80747, 0.77713, 0.56248, 0.73556, 0.94707, 0.79475, 0.78056, 0.86, 0.98375, 0.94223, 0.89535, 0.84578, 0.97624, 0.82521, 0.6846, 0.71355, 0.6859, 1.0, 0.76688, 0.83972, 0.64454, 0.84276, 0.77962, 0.76794, 0.65742, 0.72302, 0.61939, 0.84699, 0.73944, 0.66561, 0.85805, 0.81949, 0.78945, 0.65206, 0.87806, 0.85103, 0.85363, 0.60969, 0.87382, 0.60795, 0.88121, 0.83263, 0.92173, 0.76007, 0.27, 0.86913, 0.95301, 0.93125, 0.65288, 0.91006, 0.92209, 0.72556, 0.86775, 0.77956, 0.61537, 0.72651, 0.77744, 0.53556, 0.82841, 0.69178, 0.93642, 0.96862, 0.59309, 0.94653]"
breastw,J+aB,PCA,800,0.803,0.94,0.123,"[0.85372, 0.88936, 0.86241, 0.92127, 0.74948, 0.6075200000000001, 0.79053, 0.8356, 0.74348, 0.62633, 0.91588, 0.79091, 0.83854, 0.92369, 0.8460799999999999, 0.66491, 0.9301699999999999, 0.85632, 0.98, 0.98, 0.72794, 0.82, 0.84908, 0.90474, 0.79447, 0.79325, 0.83217, 0.78303, 0.67491, 0.74211, 0.89674, 0.80951, 0.70247, 0.55177, 0.91925, 0.87993, 0.76422, 0.74066, 0.78411, 0.99538, 0.8875, 0.81391, 0.98678, 0.93865, 0.95874, 0.89823, 0.7670399999999999, 0.83103, 0.8228800000000001, 0.97624, 0.69653, 1.0, 0.60238, 0.6984, 0.76576, 0.85532, 0.81307, 0.87757, 0.63186, 0.77962, 0.65884, 0.76191, 0.86971, 0.60488, 0.85584, 0.68367, 0.79718, 0.80895, 0.65806, 0.64113, 0.87727, 0.87946, 0.87321, 0.60948, 0.88121, 0.60759, 0.85521, 0.92058, 0.83416, 0.76031, 0.28, 0.87021, 0.95634, 0.97125, 0.68527, 0.92269, 0.71241, 0.93834, 0.86178, 0.77956, 0.7204699999999999, 0.72615, 0.52897, 0.68768, 0.77899, 0.96862, 0.92582, 0.86316, 0.59966, 0.9165]"
breastw,J+aB,PCA,900,0.801,0.939,0.118,"[0.86769, 0.76214, 0.86241, 0.75646, 0.57762, 0.88372, 0.89286, 0.74886, 0.84401, 0.63693, 0.66524, 0.92179, 0.98, 0.85659, 0.98, 0.94545, 0.90654, 0.84858, 0.84513, 0.79008, 0.76794, 0.85787, 0.80463, 0.77306, 0.8423, 0.72738, 0.90029, 0.76658, 0.68131, 0.80137, 0.88048, 0.79581, 0.86305, 0.59644, 0.85056, 0.70083, 0.98121, 0.77237, 0.76289, 0.7496, 0.95707, 0.88696, 0.81095, 0.91832, 0.81632, 0.77437, 0.98678, 0.90873, 0.82238, 0.98625, 1.0, 0.68852, 0.75518, 0.49453, 0.60192, 0.8861, 0.78915, 0.79867, 0.84276, 0.8823, 0.87487, 0.67509, 0.60889, 0.6970999999999999, 0.85513, 0.75006, 0.79581, 0.65851, 0.79091, 0.64132, 0.89025, 0.87806, 0.61938, 0.87319, 0.87877, 0.84521, 0.60748, 0.87486, 0.83416, 0.74713, 0.38, 0.93834, 0.85692, 0.92695, 0.86368, 0.69612, 0.89974, 0.91987, 0.71236, 0.78061, 0.69153, 0.72751, 0.77702, 0.53259, 0.8959, 0.97375, 0.70186, 0.82472, 0.6055699999999999, 0.94653]"
breastw,J+aB,PCA,1000,0.805,0.941,0.113,"[0.61048, 0.83108, 0.92039, 0.82695, 0.5869800000000001, 0.71472, 0.82092, 0.876, 0.88936, 0.74646, 0.90212, 0.92179, 0.84449, 0.85775, 0.65091, 0.79733, 0.84318, 0.94676, 0.98, 0.98, 0.79955, 0.77207, 0.72964, 0.89029, 0.73094, 0.84953, 0.83413, 0.67441, 0.77344, 0.79878, 0.77648, 0.91942, 0.56815, 0.87055, 0.88019, 0.69957, 0.98121, 0.73841, 0.79084, 0.7496, 0.93429, 0.95707, 0.88696, 0.83496, 0.82521, 0.98678, 0.78056, 0.81665, 0.91673, 0.99, 1.0, 0.68406, 0.61238, 0.76107, 0.76735, 0.8565, 0.61268, 0.87796, 0.87328, 0.79795, 0.88115, 0.67504, 0.71499, 0.62649, 0.67074, 0.85539, 0.82787, 0.78851, 0.63466, 0.65771, 0.84136, 0.88012, 0.87271, 0.62292, 0.87806, 0.60748, 0.87438, 0.8246, 0.91956, 0.74511, 0.85953, 0.91695, 0.59, 0.7051, 0.95634, 0.91537, 0.70918, 0.85332, 0.92302, 0.78061, 0.72891, 0.73286, 0.53808, 0.68364, 0.77476, 0.86207, 0.89995, 0.95862, 0.61303, 0.94043]"
wine,JaB,PCA,100,0.1,0.222,0.084,"[0, 0.13, 0, 0, 0.13, 0.2158, 0.13, 0.13, 0.11, 0.04413, 0.029150000000000002, 0.14665, 0.09665, 0, 0.11666, 0.1225, 0.23, 0.27363, 0.13, 0.10833, 0, 0.18764, 0, 0, 0.12999, 0.13, 0, 0.13, 0.13, 0.13162000000000001, 0.22078, 0, 0, 0, 0.01399, 0, 0.10566, 0, 0.18948, 0, 0.08833, 0.24538000000000001, 0.07443000000000001, 0.13, 0.08513, 0.105, 0.2686, 0.20115, 0.24077, 0.00367, 0.13, 0.09498, 0.11717, 0.24697, 0.13, 0.13, 0.12667, 0.13, 0.06534, 0.13, 0.23945, 0.14915, 0.22166, 0, 0, 0, 0.115, 0.03864, 0.13, 0, 0.17833, 0.27996, 0.1, 0, 0, 0, 0.17322, 0, 0.10611, 0.1, 0.107, 0, 0.22328, 0.03, 0, 0, 0.02784, 0.27414, 0.0, 0.13, 0.11, 0, 0, 0.16499, 0.13, 0.07999, 0.19496, 0.2165, 0.20861, 0]"
wine,JaB,PCA,200,0.096,0.221,0.083,"[0.13, 0, 0.13, 0.13, 0.1681, 0.13, 0.12165, 0.002, 0.04413, 0, 0.13665, 0, 0.1275, 0, 0.11279, 0.20998, 0.11416, 0.01833, 0.27614, 0.13, 0, 0.18847, 0, 0, 0.10829, 0.12666, 0.0025, 0.13, 0.13, 0.01, 0.0285, 0.14078000000000002, 0.002, 0, 0.04166, 0.00666, 0, 0, 0.17998, 0, 0.11333, 0.13, 0.0125, 0.10998, 0.105, 0.15943000000000002, 0.2788, 0.24277, 0.27444, 0.025330000000000002, 0, 0.16467, 0.03497, 0.13, 0.13, 0.13, 0.16643, 0.11614000000000001, 0.015340000000000001, 0.23082, 0.15081, 0.12699, 0, 0.22266, 0.017, 0.11333, 0, 0.13, 0, 0, 0, 0.1, 0.13333, 0.13, 0, 0.31165, 0, 0.10611, 0.1, 0.16488, 0.20029, 0, 0, 0.1, 0, 0, 0.015, 0.13, 0.226, 0.23412, 0.11, 0.12247, 0, 0.13, 0.13091, 0.11499, 0.07999, 0.13, 0.22122, 0.23861000000000002]"
