dataset,method,model,mean,q90,std,raw
wbc,J,PCA,0.111,0.284,0.119,"[0.0, 0.0, 0.0, 0.17650000000000002, 0.025, 0.0, 0.0, 0, 0.08650000000000001, 0.2753, 0, 0.04, 0.0215, 0.25692, 0.09, 0.38416, 0.143, 0, 0.035, 0.0, 0.06052, 0.0275, 0.1499, 0.0, 0.32334, 0.0, 0.11021, 0.0525, 0.0475, 0.1495, 0.12871, 0.0, 0.08900000000000001, 0.23806, 0.24295, 0, 0.055, 0.0, 0.12076, 0.33663, 0.11950000000000001, 0.21734, 0.0, 0.059000000000000004, 0.40599999999999997, 0.113, 0, 0.0072699999999999996, 0.2672, 0.0175, 0.1515, 0.029979999999999996, 0.22975, 0.024, 0.036000000000000004, 0.20464, 0.1805, 0.33022, 0.0, 0.0, 0.08848, 0.0, 0.36299, 0.18843, 0.068, 0.0, 0.0, 0.07938, 0.1405, 0.19847, 0.25692, 0.0, 0.20359, 0.06151, 0, 0.3551, 0.23541, 0, 0.26582, 0.10334, 0.045, 0.13242, 0.03997, 0.32159, 0, 0.035, 0.053, 0.055, 0.01238, 0.0575, 0.05, 0.092, 0.02071, 0.23558, 0.0, 0.0, 0.45502, 0.28026999999999996, 0.33598, 0.18104]"
wbc,J+,PCA,0.109,0.282,0.117,"[0.0, 0, 0.0, 0.17650000000000002, 0.0, 0.08650000000000001, 0.0, 0.2753, 0.0, 0.025, 0.04, 0, 0.0215, 0, 0.143, 0.23192000000000002, 0.09, 0.38716, 0.0, 0.035, 0.1499, 0.0525, 0.0275, 0.06052, 0.1495, 0.0, 0.11021, 0.04, 0.32334, 0.0, 0.12871, 0.0, 0.055, 0, 0.0, 0.22056, 0.12076, 0.33663, 0.24295, 0.08900000000000001, 0.11950000000000001, 0.21734, 0.113, 0.054, 0.0072699999999999996, 0.0, 0.40599999999999997, 0.0175, 0, 0.2672, 0.1515, 0.029979999999999996, 0.22975, 0.20464, 0.036000000000000004, 0.024, 0.0, 0.1805, 0.33022, 0.0, 0.08848, 0.18943, 0.0, 0.36299, 0.0, 0.068, 0.0, 0.07938, 0.1405, 0.20096999999999998, 0.25692, 0.20359, 0.06151, 0.0, 0.3551, 0, 0, 0.23541, 0.26582, 0.10334, 0.045, 0.11242, 0.29575, 0.03997, 0.035, 0, 0.01238, 0.053, 0.055, 0.0575, 0.05, 0.0, 0.092, 0.23028, 0.02071, 0.0, 0.17149, 0.32323, 0.28026999999999996, 0.45502]"
wbc,CV,PCA,0.107,0.276,0.115,"[0, 0.0, 0.0, 0.0, 0.151, 0.0, 0.134, 0, 0.26781, 0, 0.013999999999999999, 0, 0.0883, 0.18836, 0, 0.14292, 0.15448, 0.24798, 0.028, 0.0535, 0.11191, 0.0325, 0.18581, 0.0, 0.0, 0.15292, 0.27284, 0.11021, 0.1495, 0.04, 0.0, 0.12871, 0.24306, 0, 0.26212, 0, 0.06026, 0.016, 0.0, 0.33663, 0.1015, 0.18374000000000001, 0.0, 0.0072699999999999996, 0.104, 0.431, 0, 0, 0.0175, 0.2702, 0.169, 0.154, 0.04998, 0.20971, 0.20464, 0.02, 0.0, 0.07100000000000001, 0.34242, 0.075, 0.13932, 0.12138, 0.0, 0.10500000000000001, 0.1105, 0.27848, 0.0, 0.07400000000000001, 0.0, 0.20929999999999999, 0.27545000000000003, 0.006670000000000001, 0.20021, 0.0, 0.33773000000000003, 0.23329, 0, 0.27482, 0, 0.10334, 0, 0.03934, 0, 0.0895, 0.0, 0.09326, 0, 0.08885, 0.0625, 0.0635, 0.0625, 0.0, 0.0, 0.0395, 0.29372, 0.02071, 0.28574, 0.29027, 0.31538, 0.45581]"
wbc,CV+,PCA,0.095,0.27,0.112,"[0, 0.0, 0.0, 0.0, 0.0, 0, 0.151, 0.26781, 0, 0.08650000000000001, 0, 0.013999999999999999, 0.04, 0.143, 0, 0.028, 0.13664, 0.22343, 0.10792, 0.0535, 0.06052, 0.0275, 0.12881, 0.08371, 0.11800000000000001, 0.27284, 0.0, 0.02, 0.0, 0.1495, 0.12871, 0.0, 0.27906, 0.33663, 0, 0, 0.26212, 0, 0.03821, 0.0, 0.1015, 0.104, 0.0, 0.12432, 0, 0.0175, 0.0072699999999999996, 0, 0.436, 0.2702, 0.146, 0.20972000000000002, 0.033710000000000004, 0.024, 0.07100000000000001, 0.20464, 0.0, 0.31712, 0.02, 0.0, 0.09099, 0.11120000000000001, 0.0, 0.24321, 0.0, 0.07400000000000001, 0.0, 0.1105, 0.068, 0.19959, 0.26294, 0.16271, 0.006670000000000001, 0.0, 0, 0.30892000000000003, 0, 0.23329, 0.085, 0.25632, 0, 0.02342, 0.09283999999999999, 0.0, 0, 0, 0.037720000000000004, 0.0635, 0.0905, 0.0625, 0.0395, 0.0625, 0.0, 0.02071, 0.30574, 0.24072, 0.28149, 0.0, 0.29027, 0.45581]"
ionosphere,SC,PCA,0.069,0.264,0.124,"[0.02, 0, 0.3238, 0, 0.1405, 0, 0.04495, 0, 0.01, 0.032, 0.0075, 0.22084, 0.07615, 0.0745, 0.005, 0, 0, 0, 0.33536, 0, 0, 0.07971, 0.005, 0.27554, 0, 0, 0, 0.11267, 0.38135, 0, 0.23312, 0, 0, 0, 0.09975, 0, 0, 0, 0.021269999999999997, 0, 0, 0, 0.127, 0.0375, 0, 0.26344, 0.10629, 0.025, 0.75836, 0.14414, 0.03195, 0, 0, 0.063, 0.09531, 0.015, 0.005, 0.005, 0.0025, 0, 0, 0, 0, 0, 0.093, 0, 0.005, 0, 0, 0.0025, 0.0075, 0.0265, 0, 0.021500000000000002, 0.27048, 0, 0.005, 0.114, 0, 0.34776, 0.17506, 0.0075, 0.23013999999999998, 0.0025, 0.28243, 0, 0.0075, 0.1475, 0.3084, 0, 0, 0.042, 0.025, 0.13067, 0.0075, 0.019, 0.41556, 0, 0, 0.042]"
ionosphere,J,PCA,0.097,0.291,0.121,"[0.12151, 0.20064, 0.21232, 0.0, 0.0, 0.19947, 0.21797, 0.0, 0.02, 0.042, 0.04578, 0.005, 0.055349999999999996, 0.31933, 0.23732, 0.012, 0.04192, 0.027, 0.0, 0.0265, 0.11249, 0.0, 0.039, 0.30516, 0.0205, 0.27968, 0.052559999999999996, 0.253, 0.0, 0.0, 0.005, 0.32316, 0.0, 0.12081, 0.0025, 0.0, 0.10164000000000001, 0.03621, 0.32838, 0.0315, 0.0, 0.0025, 0.15399000000000002, 0.0265, 0.025, 0.28898, 0.31351, 0.24163, 0.0575, 0.24814, 0.0, 0.0, 0.0, 0.032, 0.32949, 0.11581, 0.0, 0.005, 0.08017, 0.025, 0.0, 0.0, 0.0, 0.10733, 0.006500000000000001, 0.0, 0.0815, 0.0, 0.0, 0.08699, 0.0, 0.08149, 0.08105, 0.10663, 0.0, 0.11716, 0.20857, 0.024, 0.39295, 0.0025, 0.0075, 0.40279, 0.27331, 0.40036, 0.21365, 0.51422, 0.14782, 0.11948, 0.12833, 0.004, 0.0245, 0.017, 0.21299, 0.09332, 0.12065000000000001, 0.0, 0.02, 0.005, 0.0, 0.0]"
ionosphere,J+,PCA,0.087,0.288,0.119,"[0.0, 0.00571, 0.17997, 0.02, 0.0, 0.11565, 0.0, 0.042, 0.21328, 0.19947, 0.03864, 0.005, 0.04964, 0.027, 0.012, 0.31933, 0.23732, 0.0265, 0.04192, 0.0, 0.27968, 0.0165, 0.09782, 0.039, 0.0, 0.04542, 0.30516, 0.21133, 0.0, 0.0, 0.32316, 0.12248, 0.0025, 0.03621, 0.005, 0.0, 0.005, 0.0, 0.32323, 0.0315, 0.0, 0.0, 0.11315, 0.025, 0.0265, 0.22663, 0.28567, 0.31518, 0.0575, 0.24564, 0.0, 0.0, 0.32949, 0.0, 0.032, 0.0, 0.0, 0.0, 0.08017, 0.025, 0.0, 0.0, 0.006500000000000001, 0.0, 0.0815, 0.0, 0.06067, 0.0, 0.0, 0.027, 0.08149, 0.0, 0.0, 0.08105, 0.0205, 0.10663, 0.20257, 0.024, 0.38422, 0.0, 0.27331, 0.39946, 0.0075, 0.3966, 0.14782, 0.13532, 0.51422, 0.0245, 0.12833, 0.004, 0.017, 0.0245, 0.02, 0.21299, 0.09082, 0.0, 0.12065000000000001, 0.0, 0.0, 0.0]"
ionosphere,CV,PCA,0.096,0.282,0.115,"[0.20231, 0.1338, 0.014, 0.0, 0.0, 0.21232, 0.22997, 0.0, 0.013000000000000001, 0.1988, 0.08382, 0.016, 0.22636, 0.10531, 0.04964, 0.0245, 0.12849, 0.30783, 0.0025, 0.025500000000000002, 0.1127, 0.28168, 0.19932, 0.0, 0.039, 0.10142, 0.0, 0.29599000000000003, 0.0, 0.16016, 0.32316, 0.0175, 0.0, 0.09165, 0.09747, 0.005, 0.14806, 0.03871, 0.0315, 0.0, 0.0, 0.0, 0.16314, 0.0325, 0.10766, 0.2293, 0.33179000000000003, 0.30568, 0.25014000000000003, 0.0305, 0.0, 0.0, 0.33282, 0.032, 0.0, 0.0, 0.0, 0.005, 0.0175, 0.0265, 0.0, 0.0, 0.052, 0.0, 0.006500000000000001, 0.0, 0.0305, 0.0, 0.027, 0.0, 0.0, 0.09399, 0.19798, 0.030000000000000002, 0.0, 0.10663, 0.17719, 0.024, 0.35141, 0.0, 0.134, 0.0075, 0.37683, 0.28169, 0.20747000000000002, 0.14782, 0.52739, 0.251, 0.0195, 0.01, 0.15114, 0.14032, 0.02, 0.21466, 0.09082, 0.0, 0.11736, 0.005, 0.0, 0.005]"
ionosphere,CV+,PCA,0.096,0.258,0.116,"[0.20231, 0.15764, 0.0075, 0.0, 0.0, 0.21328, 0.22997, 0.19963, 0.0, 0.0075, 0.07882, 0.04964, 0.027, 0.0025, 0.0265, 0.22636, 0.035, 0.10131, 0.016, 0.30783, 0.05592, 0.28168, 0.0, 0.22916, 0.19932, 0.10699, 0.034, 0.29949, 0.0, 0.0, 0.09165, 0.02, 0.11983, 0.09747, 0.03871, 0.32816, 0.005, 0.0, 0.0, 0.0315, 0.0, 0.0, 0.0275, 0.2283, 0.16314, 0.24214, 0.32983, 0.09232, 0.20733000000000001, 0.0305, 0.0, 0.0, 0.032, 0.33282, 0.005, 0.0, 0.0, 0.0265, 0.0, 0.0175, 0.0, 0.11314, 0.0, 0.0455, 0.0, 0.0, 0.028, 0.0, 0.0, 0.08699, 0.030000000000000002, 0.0, 0.09399, 0.0, 0.19798, 0.1058, 0.19519, 0.024, 0.35355, 0.0, 0.0075, 0.134, 0.44904, 0.28252, 0.0795, 0.52872, 0.20747000000000002, 0.0195, 0.01, 0.255, 0.21466, 0.09082, 0.15114, 0.14032, 0.1157, 0.02, 0.0, 0.009000000000000001, 0.0, 0.005]"
breastw,SC,PCA,0.17,0.337,0.123,"[0.20772, 0.03571, 0.18384999999999999, 0.18645, 0.05883, 0.2067, 0.07166, 0.09826, 0.43083, 0.0, 0.03628, 0.060939999999999994, 0.14262, 0.17608, 0.018189999999999998, 0.0, 0.19529, 0.0, 0.25969, 0.40995, 0.24865, 0.05871, 0.23213999999999999, 0.07367, 0.07516, 0.2461, 0.16088, 0.23682999999999998, 0.13477, 0.26186, 0.15805, 0.04654, 0.06786, 0.06686, 0.32044, 0.017, 0.28614, 0.2229, 0.25325, 0.19805999999999999, 0.06758, 0.0818, 0.14528, 0.22205, 0.11019999999999999, 0.2124, 0.23253, 0.22372, 0.19912, 0.17936, 0.004, 0.25033, 0.12634, 0.0, 0.28115, 0.0025, 0.20574, 0.19326, 0.44181, 0.0493, 0.26603, 0.27301, 0.06245, 0.24509, 0.052969999999999996, 0.3936, 0.37071, 0.32485, 0.14923999999999998, 0.0836, 0.05069, 0.06892, 0.38752, 0.37293, 0.33355, 0.15947, 0.003, 0.19011, 0.138, 0.08313, 0.13981, 0.020909999999999998, 0.27278, 0.26843, 0.0, 0.16055, 0.0, 0.0, 0.01358, 0.29407, 0.13354, 0.25647, 0.41214, 0.26768, 0.28427, 0.05829, 0.46057, 0.39209, 0.17334, 0.0]"
