dataset,method,model,mean,q90,std,raw
breastw,J,PCA,0.15,0.316,0.111,"[0.08914, 0.0, 0.09463, 0.10222, 0.32105, 0.006, 0.21119, 0.15585, 0.37762, 0.003, 0.022099999999999998, 0.09819, 0.06094, 0.01918, 0.1201, 0.17662, 0.15004, 0.32249, 0.0, 0.20381, 0.18753, 0.09937, 0.21619, 0.10335, 0.13585, 0.10468, 0.22576, 0.11378, 0.14347, 0.30126, 0.10145, 0.22834, 0.0994, 0.03452, 0.07248, 0.26257, 0.29146, 0.01379, 0.26045, 0.26739999999999997, 0.0168, 0.06322, 0.07046, 0.17176, 0.01608, 0.1748, 0.22794, 0.15237, 0.02106, 0.0, 0.2958, 0.19437, 0.0, 0.0949, 0.06418, 0.2119, 0.11734, 0.03836, 0.20881, 0.06828, 0.32766, 0.052629999999999996, 0.19835, 0.34742, 0.24959, 0.33691, 0.18259999999999998, 0.05438, 0.15647, 0.3106, 0.04971, 0.11889, 0.10289, 0.09824, 0.3482, 0.04659, 0.39328, 0.1217, 0.17975, 0.26483, 0.0, 0.11344, 0.003, 0.043660000000000004, 0.29255, 0.03215, 0.11571000000000001, 0.27283999999999997, 0.0747, 0.09679, 0.26126, 0.27683, 0.21943, 0.41432, 0.31574, 0.10362, 0.00444, 0.04729, 0.35431, 0.05611]"
breastw,J+,PCA,0.149,0.316,0.111,"[0.08932, 0.0, 0.10222, 0.37762, 0.14895, 0.006, 0.09185, 0.32105, 0.21119, 0.003, 0.09819, 0.022099999999999998, 0.06094, 0.01626, 0.1201, 0.0, 0.17662, 0.20381, 0.15004, 0.32249, 0.21413, 0.18781, 0.0997, 0.10385, 0.13669, 0.09279, 0.11378, 0.22676, 0.30126, 0.14069, 0.2228, 0.09964, 0.10178, 0.03452, 0.07248, 0.29146, 0.01379, 0.26257, 0.25128, 0.25193, 0.0168, 0.07124, 0.16133, 0.01608, 0.06322, 0.22838, 0.15237, 0.1748, 0.02106, 0.0, 0.2958, 0.0, 0.19508999999999999, 0.0949, 0.2119, 0.20881, 0.06275, 0.11734, 0.03836, 0.06828, 0.32799, 0.18745, 0.052629999999999996, 0.3452, 0.05438, 0.24959, 0.15647, 0.18259999999999998, 0.33464, 0.3106, 0.11889, 0.04971, 0.08321, 0.3482, 0.09303, 0.39366, 0.11087, 0.04659, 0.17975, 0.26511, 0.0, 0.11344, 0.043660000000000004, 0.003, 0.29255, 0.09438, 0.030209999999999997, 0.27283999999999997, 0.07517, 0.09679, 0.26126, 0.1014, 0.27783, 0.31574, 0.41432, 0.22086, 0.04729, 0.34547, 0.00444, 0.04896]"
breastw,CV,PCA,0.148,0.316,0.111,"[0.019629999999999998, 0.12421, 0.09204, 0.07808999999999999, 0.33578, 0.16275, 0.0, 0.12963, 0.39162, 0.02298, 0.003, 0.08831, 0.11851, 0.0, 0.06094, 0.17255, 0.0, 0.32595, 0.14633, 0.20368, 0.23157, 0.10643, 0.09837, 0.1079, 0.09677, 0.048639999999999996, 0.01239, 0.22723, 0.30899, 0.13893, 0.23374999999999999, 0.05486, 0.16619, 0.05854, 0.27692, 0.10218, 0.08183, 0.27107, 0.27721, 0.22497999999999999, 0.04192, 0.06974, 0.1477, 0.09291, 0.0, 0.22324, 0.11353, 0.17413, 0.06333, 0.0, 0.29821, 0.15012999999999999, 0.0, 0.0969, 0.21912, 0.08956, 0.22997, 0.11273, 0.0, 0.09859, 0.33115, 0.21176999999999999, 0.08452, 0.3559, 0.2667, 0.05561, 0.14875, 0.16882, 0.31477, 0.33329, 0.10969, 0.08021, 0.06375, 0.34645, 0.09734, 0.38734, 0.09917000000000001, 0.0756, 0.26076, 0.17702, 0.0, 0.043660000000000004, 0.10951, 0.02187, 0.26982, 0.003, 0.08047, 0.28643, 0.09757, 0.07481, 0.27408, 0.2157, 0.28554999999999997, 0.41026, 0.30763999999999997, 0.04809, 0.08722, 0.04609, 0.011689999999999999, 0.35367]"
breastw,CV+,PCA,0.139,0.316,0.114,"[0.10168, 0.01884, 0.06964, 0.09121, 0.0, 0.16041, 0.32717999999999997, 0.09887, 0.00666, 0.37712, 0.003, 0.08585, 0.0, 0.10598, 0.041620000000000004, 0.17393, 0.32746, 0.0, 0.15857, 0.20815, 0.2182, 0.10086, 0.09793, 0.10342, 0.094, 0.00822, 0.048999999999999995, 0.22802, 0.08843, 0.30813, 0.16741, 0.23518, 0.052860000000000004, 0.0263, 0.054430000000000006, 0.03264, 0.27786, 0.2779, 0.26341, 0.2118, 0.05111, 0.04192, 0.15409, 0.04795, 0.22105, 0.0, 0.10606, 0.17585, 0.06333, 0.0, 0.0, 0.14282999999999998, 0.29726, 0.20472, 0.09361, 0.20471, 0.08938, 0.11174, 0.0, 0.07527, 0.33195, 0.17481, 0.06325, 0.35393, 0.24282, 0.0147, 0.16589, 0.12046, 0.32972, 0.30888, 0.04854, 0.02891, 0.10935, 0.34345, 0.09056, 0.38734, 0.05156, 0.09167, 0.16814, 0.24516, 0.0, 0.10984, 0.043660000000000004, 0.003, 0.0, 0.26086, 0.08165, 0.27156, 0.0605, 0.09952, 0.26519, 0.22063, 0.27702, 0.40598, 0.31511, 0.044109999999999996, 0.06486, 0.01188, 0.34632, 0.00222]"
musk,SC,PCA,0.182,0.249,0.05,"[0.08073, 0.15102000000000002, 0.14434, 0.18573, 0.17226, 0.20021, 0.16262000000000001, 0.13879, 0.18046, 0.24988, 0.14824, 0.20632, 0.16107, 0.22184, 0.12089, 0.1905, 0.29454, 0.12151, 0.25366, 0.30646, 0.15645, 0.15302, 0.18331, 0.29427, 0.23782, 0.23464000000000002, 0.10537, 0.18952, 0.26015, 0.24776, 0.13702, 0.10178, 0.20531, 0.20188, 0.15535, 0.14728, 0.16179000000000002, 0.23102, 0.17789, 0.18409, 0.15659, 0.22154000000000001, 0.23824, 0.16885, 0.1107, 0.11797, 0.17553, 0.27379, 0.18508, 0.15901, 0.18542, 0.14724, 0.17389, 0.1708, 0.23550000000000001, 0.14587, 0.24157, 0.18275, 0.14092000000000002, 0.08963, 0.1418, 0.17866, 0.11628000000000001, 0.22395, 0.20169, 0.19814, 0.20448, 0.17577, 0.16759000000000002, 0.23463, 0.17804, 0.15349000000000002, 0.2701, 0.22008, 0.17111, 0.15513, 0.08401, 0.20663, 0.1707, 0.05004, 0.22939, 0.12157, 0.11151, 0.14001, 0.1778, 0.24773, 0.19231, 0.18280000000000002, 0.21468, 0.16487000000000002, 0.15868000000000002, 0.20149, 0.18479, 0.26772, 0.19307, 0.25392, 0.2487, 0.12403, 0.15217, 0.1942]"
musk,CV,PCA,0.181,0.234,0.044,"[0.17444, 0.14821, 0.27896, 0.1486, 0.16637, 0.19169, 0.21529, 0.2024, 0.14725, 0.23127, 0.14314000000000002, 0.15607000000000001, 0.16938, 0.21473, 0.26547, 0.11853, 0.1737, 0.17367, 0.20527, 0.11075, 0.17602, 0.13208, 0.29466, 0.19245, 0.23723, 0.197, 0.1859, 0.08888, 0.20432, 0.15388000000000002, 0.14593, 0.11975000000000001, 0.13721, 0.20253000000000002, 0.16774, 0.20422, 0.13788, 0.19518, 0.17400000000000002, 0.22067, 0.11267, 0.19156, 0.24630000000000002, 0.20357, 0.22987000000000002, 0.21529, 0.0932, 0.25203, 0.18198, 0.14843, 0.18891, 0.14609, 0.20553000000000002, 0.16429, 0.17404, 0.21005000000000001, 0.10226, 0.20721, 0.16581, 0.17194, 0.18111, 0.16635, 0.10378, 0.21634, 0.17075, 0.24625, 0.15477, 0.17236, 0.20894000000000001, 0.15990000000000001, 0.23313, 0.15394, 0.17515, 0.20807, 0.10534, 0.25663, 0.15081, 0.16973, 0.10601000000000001, 0.20498, 0.21595, 0.16093, 0.15477, 0.19032000000000002, 0.09385, 0.16446, 0.21821000000000002, 0.12901, 0.22098, 0.15366, 0.14772, 0.1757, 0.18991, 0.24252, 0.22809000000000001, 0.22318, 0.12505, 0.22945000000000002, 0.2765, 0.18552]"
musk,CV+,PCA,0.176,0.229,0.044,"[0.17382, 0.14033, 0.27565, 0.2151, 0.17341, 0.2204, 0.15918000000000002, 0.14645, 0.14808000000000002, 0.20015, 0.18355, 0.15329, 0.14038, 0.107, 0.18084, 0.2617, 0.21219000000000002, 0.20086, 0.17319, 0.12495, 0.13335, 0.18956, 0.17986, 0.29307, 0.08925, 0.18285, 0.15037, 0.23486, 0.19417, 0.17988, 0.11219, 0.14555, 0.13098, 0.18425, 0.13511, 0.16113, 0.19165000000000001, 0.1656, 0.18764, 0.22255, 0.18466, 0.22832, 0.11381000000000001, 0.19371, 0.20812, 0.14497000000000002, 0.24548, 0.09858, 0.2216, 0.17796, 0.18734, 0.158, 0.1232, 0.20754, 0.21225, 0.16104000000000002, 0.20523, 0.15822, 0.16673, 0.10024, 0.16035, 0.10378, 0.16849, 0.14922, 0.20464, 0.17678, 0.20057, 0.23473, 0.14843, 0.16636, 0.23455, 0.15912, 0.20479, 0.17265, 0.09978000000000001, 0.25825, 0.15202000000000002, 0.0722, 0.15838, 0.22535, 0.20204, 0.15597, 0.16073, 0.1759, 0.21595, 0.08641, 0.21708, 0.12575, 0.17265, 0.14549, 0.14172, 0.15636, 0.18356, 0.2403, 0.22475, 0.2274, 0.11993000000000001, 0.22645, 0.26315, 0.1857]"
pima,SC,PCA,0.043,0.148,0.103,"[0, 0, 0, 0, 0, 0.14778, 0.01482, 0, 0.20471, 0.103, 0, 0, 0, 0, 0.10083, 0.316, 0, 0.0075, 0, 0, 0, 0, 0, 0.0675, 0, 0, 0.00714, 0, 0, 0, 0, 0.15114, 0, 0.0526, 0, 0, 0, 0, 0, 0, 0.0435, 0, 0, 0, 0, 0.0862, 0, 0, 0.59091, 0.04, 0, 0.0075, 0, 0, 0, 0.0505, 0.12436, 0, 0.20547, 0, 0.0695, 0, 0, 0, 0.06770999999999999, 0.01625, 0, 0.006, 0.23823, 0, 0.015, 0.0075, 0, 0, 0, 0, 0, 0, 0.221, 0, 0.015, 0, 0, 0.01414, 0.36912, 0, 0, 0, 0, 0, 0.0135, 0.4664, 0, 0.35023, 0, 0, 0.0985, 0.0135, 0, 0]"
pima,J,PCA,0.06,0.237,0.12,"[0.005, 0, 0.42018, 0, 0.26781, 0.015, 0, 0.01, 0.29751, 0, 0, 0, 0, 0.00833, 0, 0.08333, 0.015, 0.09445, 0, 0.01, 0, 0, 0, 0, 0, 0, 0.005, 0.02, 0.02714, 0.02166, 0, 0.025, 0.005, 0, 0, 0, 0.13666, 0.015, 0, 0, 0, 0.19501, 0, 0.03214, 0.25463, 0.015, 0.02, 0, 0.55826, 0.23500000000000001, 0, 0, 0.14833, 0, 0.57624, 0, 0.015, 0, 0.005, 0.01, 0.01, 0.14999, 0.06333, 0, 0.09666, 0.01714, 0, 0.00769, 0.015, 0.01, 0.005, 0, 0, 0, 0, 0.0285, 0.01, 0.075, 0.12528, 0, 0, 0.41533, 0.005, 0, 0, 0.29225, 0.015, 0, 0, 0.005, 0.006, 0.30131, 0.37333, 0.14501, 0.13417, 0.015, 0.083, 0.005, 0, 0.01]"
pima,J+,PCA,0.058,0.201,0.117,"[0.41268, 0.005, 0, 0, 0.26281, 0.015, 0, 0.01, 0.29751, 0, 0, 0, 0, 0, 0.09445, 0.00833, 0.08333, 0.015, 0, 0.01, 0, 0, 0, 0, 0.005, 0, 0.02, 0, 0.02714, 0.02166, 0.025, 0.005, 0, 0, 0, 0.015, 0, 0.13666, 0, 0, 0.015, 0, 0, 0.19501, 0, 0.03214, 0.25463, 0.02, 0.55802, 0.15667, 0.14833, 0, 0, 0, 0.5329, 0, 0, 0.015, 0.01, 0.005, 0.01, 0, 0.06333, 0.14999, 0.09666, 0, 0.01714, 0.00769, 0.01, 0.015, 0, 0.005, 0, 0, 0, 0.01, 0.075, 0.0285, 0.12528, 0, 0, 0.412, 0.005, 0, 0.29225, 0, 0.015, 0, 0, 0.005, 0.006, 0.13417, 0.36833, 0.30131, 0.083, 0.14501, 0.005, 0.015, 0, 0.01]"
pima,CV,PCA,0.059,0.184,0.125,"[0.005, 0, 0, 0.31868, 0, 0.015, 0.64115, 0.01, 0.13917, 0, 0, 0, 0.03128, 0, 0.005, 0.08833, 0.09381, 0.015, 0, 0.01, 0, 0, 0, 0.005, 0, 0.006, 0.05614, 0.02, 0, 0.025, 0.025, 0.005, 0, 0, 0.13666, 0, 0.015, 0, 0, 0, 0, 0.1345, 0.033, 0.03214, 0, 0.29803, 0, 0.02, 0.23511, 0.59728, 0, 0, 0.14833, 0.57689, 0, 0, 0, 0.015, 0.005, 0.01, 0, 0.0275, 0.06833, 0.183, 0.01, 0.11267, 0, 0.01714, 0.01, 0.015, 0.005, 0, 0, 0.006, 0, 0.01, 0, 0.075, 0.11167, 0, 0.41533, 0, 0, 0.00333, 0.196, 0, 0, 0, 0.015, 0.005, 0.0235, 0.29465, 0.12667, 0.21833, 0.01833, 0.15334, 0, 0.015, 0, 0.01]"
pima,CV+,PCA,0.055,0.159,0.113,"[0.005, 0, 0, 0.31568, 0, 0.015, 0, 0.36281, 0.01, 0.13417, 0, 0, 0.00714, 0.015, 0, 0.005, 0.09381, 0, 0.01, 0.08833, 0, 0, 0, 0, 0.005, 0.02, 0, 0.05614, 0, 0.02166, 0.02333, 0.005, 0, 0, 0, 0.015, 0, 0.12666, 0, 0, 0.13533, 0, 0.03214, 0.033, 0, 0.29803, 0, 0.02, 0.61369, 0.155, 0.14833, 0, 0, 0.526, 0, 0, 0, 0.015, 0.01, 0.005, 0.0275, 0.06333, 0.1905, 0, 0.01, 0, 0.01714, 0.111, 0.01, 0.015, 0, 0.006, 0.005, 0, 0, 0, 0.075, 0.01, 0.11167, 0, 0, 0.412, 0, 0.2255, 0.00333, 0, 0, 0.015, 0, 0.005, 0.005, 0.30331, 0.21833, 0.01833, 0.125, 0.015, 0.15567, 0, 0, 0.01]"
annthyroid,SC,PCA,0.171,0.268,0.071,"[0.20542, 0.13543, 0.16995, 0.20976, 0.25283, 0.19403, 0.061970000000000004, 0.1183, 0.23505, 0.14226, 0.20449, 0.06544, 0.2422, 0.10045, 0.15663, 0.1174, 0.16844, 0.20491, 0.32052, 0.2839, 0.21007, 0.32231, 0.1262, 0.06577, 0.25197, 0.27786, 0.15697, 0.26788, 0.09077, 0.13572, 0.19574, 0.12139, 0.08759, 0.08404, 0.21083, 0.16017, 0.14947, 0.01059, 0.20304, 0.13282, 0.28778, 0.05994, 0.18364, 0.16293, 0.11433, 0.18848, 0.13735, 0.26794, 0.14697, 0.1693, 0.20145, 0.1159, 0.24137, 0.11697, 0.0697, 0.04914, 0.10676000000000001, 0.25547, 0.18128, 0.16875, 0.13191, 0.19178, 0.12702, 0.25968, 0.19727, 0.20751, 0.22534, 0.1373, 0.15907, 0.15079, 0.08939, 0.04419, 0.1943, 0.02705, 0.29046, 0.11493, 0.18667, 0.26375, 0.02397, 0.18001, 0.23077, 0.11202000000000001, 0.24714, 0.21885, 0.20286, 0.26834, 0.20644, 0.23841, 0.0875, 0.17501, 0.17367, 0.11526, 0.21581, 0.18317, 0.14433, 0.31677, 0.07259, 0.12221, 0.20192, 0.27095]"
annthyroid,CV,PCA,0.165,0.236,0.055,"[0.12692, 0.2032, 0.11647, 0.1794, 0.10596, 0.14957, 0.19987, 0.16108, 0.153, 0.12856, 0.19121, 0.11912, 0.15296, 0.1361, 0.14645, 0.14366, 0.16214, 0.16379, 0.24055, 0.30917, 0.28969, 0.18983, 0.25421, 0.11971, 0.03855, 0.20275, 0.20504, 0.19645, 0.18768, 0.11443, 0.13442, 0.0917, 0.17007, 0.17414, 0.08705, 0.12113, 0.19324, 0.06531, 0.18781, 0.14003, 0.05648, 0.22917, 0.25057, 0.15359, 0.1365, 0.11488, 0.20258, 0.15542, 0.20006, 0.26995, 0.21554, 0.13511, 0.1105, 0.23028, 0.12302, 0.12114, 0.12116, 0.19613, 0.21038, 0.12765, 0.14548, 0.15093, 0.12586, 0.21256, 0.18024, 0.19509, 0.12848, 0.24134, 0.12497, 0.15208, 0.16165, 0.04997, 0.18618, 0.12117, 0.12834, 0.23325, 0.16001, 0.05951, 0.23305, 0.13513, 0.21621, 0.12166, 0.17859, 0.22817, 0.13529, 0.26828, 0.21012, 0.23515, 0.0694, 0.14158, 0.10753, 0.13796, 0.13805, 0.16525, 0.12478, 0.28428, 0.18482, 0.12040000000000001, 0.16735, 0.28331]"
annthyroid,CV+,PCA,0.162,0.234,0.056,"[0.11387, 0.20082, 0.17914, 0.19815, 0.11704, 0.09887, 0.14725, 0.15816, 0.14687, 0.12861, 0.14793, 0.14044, 0.1351, 0.11003, 0.18941, 0.13089, 0.16433, 0.16144, 0.23674, 0.30879, 0.18138, 0.28608, 0.12011, 0.18519, 0.20092, 0.038489999999999996, 0.25101, 0.11088, 0.20245, 0.18971, 0.16744, 0.08575, 0.13306, 0.08767, 0.17312, 0.12218, 0.18736, 0.06459, 0.18422, 0.14018, 0.15425, 0.25148, 0.21625, 0.13569, 0.20244, 0.05728, 0.15453, 0.26523, 0.11387, 0.19904, 0.21361, 0.13013, 0.23103, 0.11042, 0.11979, 0.10992, 0.12067, 0.19337000000000001, 0.21047, 0.12297, 0.15005, 0.11808, 0.14539, 0.21332, 0.17738, 0.24121, 0.19231, 0.14808, 0.12208, 0.12901, 0.18204, 0.04893, 0.16423, 0.12074, 0.13057, 0.05903, 0.23341, 0.15908, 0.11822, 0.22965, 0.22042, 0.10679, 0.2283, 0.17523, 0.13471, 0.26971, 0.2082, 0.23206, 0.14063, 0.06812, 0.137, 0.09544, 0.15354, 0.13453, 0.12023, 0.2798, 0.17853, 0.16656, 0.115, 0.2809]"
mammography,SC,PCA,0.166,0.245,0.066,"[0.18359, 0.2085, 0.22537, 0.08585, 0.16576, 0.18833, 0.27414, 0.18436, 0.08264, 0.13185, 0.1682, 0.04259, 0.19604, 0.24227, 0.1777, 0.19091, 0.14356, 0.19029000000000001, 0.20571, 0.21453, 0.17422, 0.03314, 0.18912, 0.20367, 0.08554, 0.30857, 0.17744000000000001, 0.23185, 0.09801, 0.20913, 0.22527, 0.25288, 0.09937, 0.15648, 0.22425, 0.1512, 0.22502, 0.21206, 0.17347, 0.14239, 0.06135, 0.10066, 0.19718, 0.27883, 0.24724, 0.18875, 0.26637, 0.01004, 0.22634, 0.19295, 0.13388, 0.08360000000000001, 0.17947, 0.22273, 0.25268, 0.1708, 0.13728, 0.17953, 0.20487, 0.14494, 0.1538, 0.01375, 0.24964, 0.15484, 0.06414, 0.03936, 0.14587, 0.00285, 0.20885, 0.05775, 0.22952, 0.02384, 0.2389, 0.24548999999999999, 0.12144, 0.14982, 0.10817, 0.23868, 0.19085, 0.11507, 0.12462, 0.10473, 0.16765, 0.12595, 0.09164, 0.26188, 0.14508, 0.16906, 0.18038, 0.20514, 0.23151, 0.07791000000000001, 0.10917, 0.14131, 0.21187, 0.24447, 0.14108, 0.15454, 0.18468, 0.17583]"
mammography,CV,PCA,0.174,0.231,0.042,"[0.18377, 0.17916, 0.14626, 0.20437, 0.17456, 0.23751, 0.14657, 0.1096, 0.20774, 0.14583, 0.15835, 0.18229, 0.22794999999999999, 0.19491, 0.15051, 0.20767, 0.15395, 0.21301, 0.18091, 0.15104, 0.15748, 0.10952, 0.14656, 0.21698, 0.1519, 0.18269, 0.28798, 0.23128, 0.14894, 0.21706, 0.2, 0.13513, 0.23135, 0.15712, 0.2394, 0.17851, 0.11139, 0.17506, 0.15949, 0.22195, 0.13739, 0.20905, 0.20597000000000001, 0.20506, 0.12915, 0.16238, 0.14916, 0.25232, 0.23948, 0.20036, 0.17996, 0.19167, 0.15367, 0.18612, 0.17517, 0.20995, 0.17427, 0.12609, 0.24815, 0.17994, 0.15374, 0.04951, 0.25433, 0.13426, 0.19498, 0.15012999999999999, 0.13781, 0.11304, 0.1097, 0.09675, 0.14192, 0.21657, 0.22965, 0.1585, 0.20517, 0.25167, 0.12382, 0.1415, 0.11355, 0.14384, 0.15141, 0.12359, 0.15078, 0.17723, 0.16249, 0.13811, 0.20909, 0.1299, 0.18988, 0.14326, 0.22429, 0.1233, 0.16313, 0.1352, 0.21963, 0.13386, 0.24139, 0.19753, 0.16626, 0.18323]"
mammography,CV+,PCA,0.172,0.231,0.042,"[0.20383, 0.17175, 0.17836, 0.23545, 0.14415, 0.20327, 0.17842, 0.10705, 0.14292, 0.14296, 0.19324, 0.22613, 0.16019, 0.20077, 0.21153, 0.14771, 0.14953, 0.17516, 0.15234, 0.1789, 0.10356, 0.15626, 0.14373, 0.14973, 0.18245, 0.21307, 0.28141, 0.14574, 0.21928, 0.23139, 0.19856, 0.23135, 0.23811, 0.13373, 0.10868, 0.17291, 0.21993000000000001, 0.15092, 0.15811, 0.1772, 0.13347, 0.12556, 0.20642, 0.20796, 0.20339, 0.16206, 0.25045, 0.23806, 0.1477, 0.19529, 0.17957, 0.14716, 0.18602, 0.18518, 0.17264, 0.17012, 0.12375, 0.20465, 0.17645, 0.24917, 0.15252, 0.046239999999999996, 0.25238, 0.13445000000000001, 0.19327, 0.14426, 0.1357, 0.10155, 0.0952, 0.10889, 0.22871, 0.13926, 0.21346, 0.20521, 0.15667, 0.24952, 0.12355000000000001, 0.13905, 0.14384, 0.11122, 0.14951, 0.12122, 0.14871, 0.17662, 0.15541, 0.1376, 0.20704, 0.14099, 0.1889, 0.12784, 0.12261, 0.2206, 0.16283, 0.21703, 0.13539, 0.24017, 0.12985, 0.16885, 0.17682, 0.19105]"
shuttle,SC,PCA,0.174,0.207,0.026,"[0.1552, 0.19389, 0.19888, 0.1775, 0.20322, 0.14665, 0.17784, 0.17181, 0.15717, 0.16111, 0.205, 0.14937, 0.18468, 0.15788, 0.1532, 0.15074, 0.18431, 0.17586, 0.17192, 0.11483, 0.15982, 0.18407, 0.15753, 0.192, 0.15604, 0.16756000000000001, 0.20116, 0.21127, 0.1645, 0.18017, 0.17326, 0.17867, 0.1596, 0.18023, 0.20072, 0.23125, 0.14432, 0.2047, 0.16639, 0.20628, 0.1492, 0.20827, 0.15774, 0.19237, 0.09627, 0.18541, 0.12514, 0.16836, 0.19144, 0.15153, 0.16172, 0.21496, 0.14006, 0.15082, 0.15555, 0.14326, 0.14798, 0.19027, 0.20025, 0.14495, 0.16004000000000002, 0.20212, 0.13553, 0.12568, 0.15562, 0.16422, 0.1379, 0.22694, 0.21571, 0.19565, 0.22729, 0.18637, 0.16558, 0.19052, 0.19456, 0.17054, 0.19574, 0.16462, 0.21268, 0.20695, 0.16908, 0.17903, 0.20104, 0.1621, 0.15613, 0.16542, 0.2269, 0.20026, 0.14522, 0.1652, 0.17635, 0.16362, 0.18191, 0.15151, 0.14862, 0.14953, 0.17758, 0.21247, 0.16586, 0.15588]"
shuttle,CV,PCA,0.178,0.194,0.015,"[0.20146, 0.17349, 0.18012, 0.17323, 0.19489, 0.20651, 0.17464, 0.16226, 0.17111, 0.19324, 0.1922, 0.19281, 0.15527, 0.15595, 0.16837, 0.18776, 0.19128, 0.17611, 0.18036, 0.16589, 0.18412, 0.16756000000000001, 0.20468, 0.17713, 0.17312, 0.19433, 0.15864, 0.17799, 0.17114000000000001, 0.15828, 0.16908, 0.1825, 0.1632, 0.18851, 0.20265, 0.18849, 0.18121, 0.14611, 0.16312, 0.18069, 0.1717, 0.18467, 0.18848, 0.17232, 0.18744, 0.15998, 0.17591, 0.15148, 0.18286, 0.18418, 0.18062, 0.18875, 0.16923, 0.17451, 0.17912, 0.19105, 0.15981, 0.19024, 0.17731, 0.17035, 0.14726, 0.19712, 0.218, 0.15106, 0.17625, 0.15446000000000001, 0.20926, 0.17351, 0.17121, 0.18025, 0.1926, 0.18726, 0.18072, 0.17999, 0.16833, 0.21393, 0.18814, 0.18673, 0.15323, 0.17914, 0.19364, 0.15897, 0.19052, 0.17257, 0.17312, 0.17002, 0.1916, 0.15823, 0.17931, 0.18582, 0.16127, 0.18944, 0.19707, 0.15925, 0.14879, 0.17857, 0.17896, 0.17274, 0.16575, 0.18349000000000001]"
shuttle,CV+,PCA,0.172,0.192,0.015,"[0.1711, 0.17486, 0.1583, 0.19182, 0.19608, 0.20229, 0.16571, 0.16478, 0.18969, 0.16345, 0.19115000000000001, 0.15066, 0.16662, 0.15209, 0.18828, 0.18601, 0.17467, 0.18331, 0.17707, 0.16026, 0.20029, 0.16133, 0.19306, 0.15476, 0.17031, 0.17930000000000001, 0.16534000000000001, 0.174, 0.15705, 0.16953, 0.16593, 0.17099, 0.17455, 0.15807, 0.17535, 0.15946, 0.17023, 0.1448, 0.19842, 0.18039, 0.16019, 0.18074, 0.17992, 0.14913, 0.17384, 0.17401, 0.17139, 0.1648, 0.15411, 0.18546, 0.17781, 0.1743, 0.16508, 0.19056, 0.16457, 0.17443, 0.1867, 0.17378, 0.15901, 0.15455, 0.14621, 0.19301000000000001, 0.21133, 0.15156, 0.16208, 0.20301, 0.17324, 0.14875, 0.16021, 0.17701, 0.1876, 0.18304, 0.17404, 0.1601, 0.16786, 0.17408, 0.14873, 0.20538, 0.17195, 0.17131, 0.19083, 0.15592, 0.18412, 0.16444, 0.16604, 0.16025, 0.1722, 0.17574, 0.18003, 0.15235, 0.1525, 0.17204, 0.19223, 0.1478, 0.1715, 0.16949, 0.15363, 0.16243, 0.18121, 0.16125]"
fraud,SC,PCA,0.18,0.22,0.028,"[0.15284, 0.20152, 0.15478, 0.17801, 0.23295, 0.14485, 0.1978, 0.17097, 0.1629, 0.20113, 0.16738, 0.19505, 0.14234, 0.21517, 0.18474, 0.21909, 0.18201, 0.19938, 0.17274, 0.18491, 0.18155, 0.15211, 0.17672, 0.23676, 0.13405, 0.13683, 0.19945, 0.14831, 0.15148, 0.21864, 0.18287, 0.22122, 0.14835, 0.158, 0.16497, 0.17054, 0.20457, 0.16287, 0.2174, 0.22246, 0.17266, 0.12393, 0.18014, 0.1586, 0.23642, 0.18004, 0.18862, 0.22707, 0.16597, 0.15906, 0.16481, 0.1876, 0.22021, 0.2155, 0.14702, 0.16636, 0.22240000000000001, 0.21102, 0.15856, 0.22299, 0.20769, 0.18895, 0.16401, 0.14015, 0.14689, 0.1976, 0.19709, 0.16484, 0.19484, 0.16505, 0.17433, 0.13546, 0.13211, 0.17593, 0.16886, 0.15002, 0.20567, 0.14256, 0.15048, 0.20608, 0.13488, 0.14998, 0.15732, 0.19142, 0.21209, 0.18525, 0.21402, 0.17368, 0.17578, 0.22381, 0.15875, 0.16712, 0.13345, 0.20742, 0.18831, 0.23328000000000002, 0.1675, 0.17019, 0.1986, 0.17054]"
fraud,CV,PCA,0.181,0.189,0.006,"[0.18199, 0.18156, 0.17496, 0.16297, 0.17545, 0.18153, 0.18347, 0.181, 0.1767, 0.18514, 0.17812, 0.17706, 0.18721, 0.17814, 0.18371, 0.17994, 0.18824, 0.17725, 0.16543, 0.18544, 0.17356, 0.1912, 0.18947, 0.18759, 0.18204, 0.17926, 0.16852, 0.17423, 0.17684, 0.17634, 0.18422, 0.17957, 0.17177, 0.19421, 0.17418, 0.17574, 0.18563, 0.17731, 0.18255, 0.18297, 0.19963, 0.17711, 0.17166, 0.17702, 0.18467, 0.17868, 0.18389, 0.17855, 0.17751, 0.18772, 0.17858, 0.17919, 0.17857, 0.18162, 0.17701, 0.1864, 0.19636, 0.18834, 0.19373, 0.18386, 0.1767, 0.19495, 0.18116, 0.18461, 0.18618, 0.184, 0.18367, 0.18613, 0.19122, 0.18654, 0.18061, 0.17166, 0.18431, 0.18033, 0.17228, 0.1764, 0.17294, 0.18793, 0.18341, 0.18035, 0.18535, 0.17122, 0.17958, 0.17545, 0.18442, 0.18317, 0.17929, 0.18847, 0.18847, 0.18276, 0.18183, 0.18932, 0.17893, 0.17528, 0.17121, 0.18176, 0.18622, 0.18123, 0.18954000000000001, 0.17521]"
