dataset,method,model,calib_size,mean,q90,std,raw
ionosphere,J+aB,PCA,100,0.119,0.311,0.137,"[0.0175, 0.36988, 0.27768, 0.11498, 0.20297, 0.124, 0.18663000000000002, 0.015, 0.14057, 0.25081, 0.13209, 0.08497, 0.54264, 0.0, 0.0305, 0.0, 0.31051, 0.19814, 0.31322, 0.19481, 0.0735, 0.0, 0.11233, 0.03559, 0.10783, 0.0, 0.08832, 0.28734, 0.13165, 0.42191, 0.0, 0.0075, 0.0, 0.0, 0.12081, 0.09664, 0.33416, 0.22154000000000001, 0.18942, 0.044, 0.005, 0.0, 0.27574, 0.17129, 0.0, 0.44842, 0.15898, 0.025, 0.0, 0.31068, 0.02667, 0.0, 0.033, 0.02, 0.33365, 0.0, 0.0, 0.0, 0.1058, 0.25382, 0.0, 0.0, 0.35751, 0.0, 0.02, 0.07717, 0.0, 0.024, 0.0, 0.1135, 0.0, 0.09414, 0.07649, 0.0, 0.0, 0.16398000000000001, 0.01, 0.11581, 0.42723, 0.0075, 0.0075, 0.24431, 0.30795, 0.30585, 0.13382, 0.21497, 0.57639, 0.0025, 0.08399, 0.0, 0.032, 0.0, 0.20815, 0.0225, 0.17416, 0.0025, 0.0, 0.1008, 0.0, 0.0]"
ionosphere,J+aB,PCA,200,0.166,0.399,0.152,"[0.18998, 0.25663, 0.44184, 0.18548, 0.38415, 0.034980000000000004, 0.0, 0.49884, 0.28297, 0.06115, 0.1287, 0.11647, 0.32633, 0.0, 0.42481, 0.08497, 0.39867, 0.07832, 0.0, 0.25314, 0.21153, 0.15259, 0.364, 0.015, 0.19664, 0.08332, 0.36825, 0.34182, 0.0, 0.22899, 0.21247, 0.16414, 0.41716, 0.19664, 0.0, 0.0, 0.42168, 0.35087, 0.04164, 0.21331, 0.21564, 0.0025, 0.10066, 0.0, 0.08247, 0.32528, 0.38068, 0.06686, 0.34435, 0.3835, 0.0, 0.1658, 0.09449, 0.005, 0.20282, 0.01, 0.40865, 0.0, 0.16767, 0.07915, 0.02315, 0.09731000000000001, 0.0, 0.12382, 0.057, 0.0, 0.0, 0.0, 0.0, 0.19014, 0.034140000000000004, 0.2298, 0.0, 0.0, 0.26532, 0.13997, 0.0763, 0.08698, 0.54127, 0.01998, 0.034140000000000004, 0.29847, 0.30515000000000003, 0.39862, 0.23948, 0.46854, 0.03615, 0.55731, 0.1245, 0.0, 0.20946, 0.0265, 0.24732, 0.13899, 0.0, 0.18665, 0.14415, 0.09913, 0.0, 0.0]"
ionosphere,J+aB,PCA,300,0.161,0.401,0.156,"[0.27064, 0.43351, 0.01998, 0.10064000000000001, 0.50804, 0.04815, 0.042300000000000004, 0.0445, 0.0, 0.27297, 0.0, 0.44212, 0.46865, 0.0835, 0.0587, 0.21081, 0.08497, 0.18881, 0.40539000000000003, 0.0, 0.0, 0.36233, 0.20228000000000002, 0.36325, 0.08983000000000001, 0.08832, 0.34515, 0.05842, 0.0, 0.22483, 0.40082, 0.21414, 0.09414, 0.09664, 0.005, 0.24833, 0.04164, 0.0, 0.22853, 0.27462, 0.0025, 0.0, 0.33681, 0.21064, 0.38235, 0.294, 0.24398, 0.08413, 0.3845, 0.3233, 0.0, 0.02925, 0.41115, 0.09258, 0.005, 0.19447, 0.0, 0.1658, 0.0958, 0.16267, 0.03983, 0.0, 0.006500000000000001, 0.0, 0.0, 0.057, 0.07816000000000001, 0.0, 0.0, 0.21349, 0.03331, 0.22897, 0.0, 0.06298000000000001, 0.0, 0.38349, 0.17449, 0.52528, 0.13747, 0.07581, 0.03964, 0.31081, 0.42996, 0.50176, 0.24948, 0.20698, 0.197, 0.58911, 0.017, 0.0, 0.14648, 0.18113, 0.032170000000000004, 0.2679, 0.23082, 0.0, 0.11911000000000001, 0.10247, 0.0, 0.0]"
ionosphere,J+aB,PCA,400,0.171,0.397,0.155,"[0.25563, 0.27297, 0.0465, 0.39954, 0.12986, 0.43351, 0.058140000000000004, 0.01998, 0.09914, 0.0, 0.08497, 0.49712, 0.0, 0.397, 0.42202, 0.20147, 0.11616, 0.04564, 0.18814, 0.22198, 0.09616, 0.36804, 0.19664, 0.37182, 0.2369, 0.0, 0.0, 0.36725, 0.14526, 0.12164, 0.21898, 0.40516, 0.021650000000000003, 0.03997, 0.03164, 0.16664, 0.32167, 0.30309, 0.21453, 0.0, 0.0, 0.21147, 0.0025, 0.08496000000000001, 0.32334, 0.12232, 0.38898, 0.38139, 0.3355, 0.30742, 0.0, 0.40948, 0.07742, 0.0075, 0.1928, 0.1658, 0.03164, 0.25081, 0.16267, 0.0, 0.09583, 0.0, 0.006500000000000001, 0.0025, 0.0, 0.052, 0.0, 0.31514, 0.12148, 0.0, 0.034140000000000004, 0.0, 0.2048, 0.0, 0.06298000000000001, 0.14998, 0.27141, 0.16699, 0.5993, 0.07581, 0.31996, 0.31515, 0.45496, 0.53338, 0.11915, 0.5882000000000001, 0.24948, 0.18865, 0.0, 0.0195, 0.1503, 0.25232, 0.13816, 0.10049000000000001, 0.18333, 0.28331, 0.0, 0.0, 0.1008, 0.0]"
ionosphere,J+aB,PCA,500,0.166,0.381,0.149,"[0.11797, 0.09914, 0.024980000000000002, 0.25780000000000003, 0.40685, 0.0, 0.1145, 0.10997, 0.25563, 0.37954, 0.11466, 0.32132, 0.11030000000000001, 0.13198000000000001, 0.0325, 0.39867, 0.18881, 0.0, 0.50483, 0.03497, 0.09616, 0.0, 0.12881, 0.3715, 0.12164, 0.36848000000000003, 0.12606, 0.37749, 0.0, 0.15025, 0.21231, 0.021650000000000003, 0.39516, 0.0983, 0.16997, 0.0, 0.21382, 0.30276000000000003, 0.09664, 0.24167, 0.0, 0.03497, 0.19647, 0.3355, 0.12482, 0.16413, 0.37722, 0.37383, 0.15325, 0.43898, 0.04923, 0.11415, 0.0, 0.40948, 0.0075, 0.005, 0.20615, 0.0, 0.10566, 0.10081, 0.04083, 0.0, 0.029810000000000003, 0.0025, 0.09865, 0.0025, 0.19548000000000001, 0.0, 0.0, 0.28714, 0.03331, 0.2048, 0.0, 0.14998, 0.0, 0.13298000000000001, 0.16699, 0.26699, 0.53991, 0.10582, 0.44912, 0.34997, 0.1013, 0.58992, 0.34665, 0.11947, 0.50269, 0.27032, 0.0, 0.19198, 0.17946, 0.24815, 0.14648, 0.18665, 0.1008, 0.12884, 0.0, 0.14331, 0.0, 0.0]"
ionosphere,J+aB,PCA,600,0.179,0.387,0.15,"[0.1213, 0.21914, 0.20063, 0.1225, 0.36517, 0.26196, 0.11498, 0.14314, 0.39954, 0.0, 0.0, 0.46865, 0.09115000000000001, 0.03497, 0.31553, 0.25814, 0.1953, 0.11592, 0.13698, 0.39867, 0.36983, 0.18616, 0.12881, 0.0, 0.15025, 0.22523, 0.36848000000000003, 0.0, 0.21832000000000001, 0.37849, 0.21898, 0.005, 0.17164000000000001, 0.043300000000000005, 0.40582, 0.24167, 0.30809, 0.09664, 0.15253, 0.0, 0.005, 0.0025, 0.21147, 0.34418, 0.37822, 0.3325, 0.06816, 0.16413, 0.43481000000000003, 0.23077, 0.05786, 0.0075, 0.0, 0.20615, 0.0, 0.40948, 0.1658, 0.005, 0.244, 0.25081, 0.02315, 0.0025, 0.09882, 0.04398, 0.005, 0.0, 0.0, 0.0, 0.12148, 0.31381, 0.18649, 0.034140000000000004, 0.0, 0.1913, 0.38582, 0.15247, 0.5542900000000001, 0.16949, 0.0, 0.07582, 0.17214000000000002, 0.34997, 0.45759, 0.29332, 0.2678, 0.18946, 0.53213, 0.26249, 0.0, 0.59019, 0.14648, 0.0653, 0.0, 0.18665, 0.25051, 0.25232, 0.0408, 0.0, 0.28331, 0.0]"
ionosphere,J+aB,PCA,700,0.178,0.396,0.152,"[0.39587, 0.024980000000000002, 0.14214, 0.36517, 0.11897, 0.09914, 0.18063, 0.0, 0.23982, 0.26196, 0.29197, 0.504, 0.20147, 0.11425, 0.03497, 0.13198000000000001, 0.13813, 0.397, 0.0, 0.18881, 0.10615000000000001, 0.35816, 0.12881, 0.37849, 0.19176, 0.0, 0.11748, 0.0, 0.13661, 0.36848000000000003, 0.21081, 0.40082, 0.043300000000000005, 0.09664, 0.0, 0.1162, 0.021650000000000003, 0.16165, 0.32167, 0.43981, 0.005, 0.19564, 0.0358, 0.06816, 0.1633, 0.37722, 0.38416, 0.43481000000000003, 0.35514, 0.26643, 0.05786, 0.40865, 0.0, 0.20615, 0.0075, 0.10747, 0.005, 0.0, 0.2458, 0.29899, 0.02315, 0.10898000000000001, 0.0, 0.005, 0.09882, 0.0075, 0.0, 0.0, 0.17898, 0.29364, 0.03331, 0.15081, 0.18649, 0.0, 0.0, 0.38341000000000003, 0.19047, 0.54062, 0.16699, 0.07581, 0.34997, 0.45592, 0.51345, 0.11214, 0.59094, 0.27515, 0.24249, 0.2338, 0.1828, 0.0175, 0.1503, 0.24732, 0.14648, 0.0408, 0.0, 0.18582, 0.28331, 0.23134, 0.0, 0.0]"
ionosphere,J+aB,PCA,800,0.182,0.395,0.151,"[0.14231, 0.39954, 0.01665, 0.26063000000000003, 0.30447, 0.1145, 0.0, 0.26196, 0.12636, 0.09914, 0.08949, 0.46797, 0.18881, 0.08497, 0.22198, 0.10842, 0.397, 0.26846, 0.0, 0.11030000000000001, 0.0, 0.37967, 0.12881, 0.19176, 0.19783, 0.37848, 0.37726, 0.13661, 0.0, 0.21832000000000001, 0.39482, 0.21164, 0.03997, 0.16165, 0.09482, 0.14986, 0.32167, 0.0, 0.48825, 0.19664, 0.0, 0.03497, 0.21564, 0.10816, 0.0833, 0.37383, 0.37722, 0.35568, 0.23177, 0.46481, 0.09167, 0.0, 0.20698, 0.40948, 0.0, 0.1658, 0.005, 0.0, 0.244, 0.18831, 0.0, 0.04483, 0.0025, 0.11398, 0.09865, 0.005, 0.12398, 0.0, 0.0, 0.29864, 0.18649, 0.03331, 0.0, 0.25547, 0.0, 0.15081, 0.38516, 0.55614, 0.07581, 0.16949, 0.11214, 0.34997, 0.2638, 0.52271, 0.44912, 0.34665, 0.59076, 0.1828, 0.0175, 0.24249, 0.15531, 0.13816, 0.25715, 0.25068, 0.18665, 0.0, 0.1008, 0.28331, 0.0075, 0.0]"
ionosphere,J+aB,PCA,900,0.176,0.39,0.152,"[0.12636, 0.21914, 0.18063, 0.01998, 0.34433, 0.0, 0.27197, 0.30838, 0.04497, 0.115, 0.26388, 0.20147, 0.03497, 0.11508, 0.42202, 0.08949, 0.12699, 0.397, 0.18714, 0.0, 0.19116, 0.364, 0.0, 0.13661, 0.37848, 0.12664, 0.37226, 0.23509, 0.0, 0.13165, 0.40082, 0.21164, 0.021650000000000003, 0.09664, 0.043300000000000005, 0.23253000000000001, 0.16332, 0.0, 0.43863, 0.24167, 0.005, 0.22114, 0.0358, 0.10816, 0.16247, 0.38954, 0.26852, 0.38139, 0.33431, 0.43381000000000003, 0.09167, 0.005, 0.0, 0.02417, 0.40948, 0.20698, 0.29933, 0.0, 0.1058, 0.09497, 0.05499, 0.11898, 0.09865, 0.005, 0.0, 0.0025, 0.0, 0.16898, 0.0, 0.28864, 0.03331, 0.21814, 0.0, 0.0, 0.1458, 0.19147, 0.38491000000000003, 0.08365, 0.56367, 0.07581, 0.34997, 0.11214, 0.50496, 0.52313, 0.59076, 0.34665, 0.23947000000000002, 0.1178, 0.24363, 0.0175, 0.05198, 0.14648, 0.24915, 0.25568, 0.22582, 0.0, 0.0, 0.0408, 0.28331, 0.0]"
ionosphere,J+aB,PCA,1000,0.181,0.389,0.15,"[0.11447, 0.12636, 0.0, 0.36588, 0.024980000000000002, 0.21914, 0.27197, 0.23832, 0.18063, 0.33933, 0.12292, 0.11146, 0.20926, 0.20597000000000001, 0.03497, 0.11699, 0.397, 0.45186, 0.0, 0.18214, 0.19116, 0.379, 0.12881, 0.37726, 0.0, 0.25968, 0.24509, 0.37848, 0.0, 0.12164, 0.40182, 0.04247, 0.21164, 0.09664, 0.02248, 0.16665, 0.24253, 0.43407, 0.0, 0.24167, 0.005, 0.03497, 0.22114, 0.21316000000000002, 0.15997, 0.3433, 0.33631, 0.37722, 0.21852, 0.38898, 0.0, 0.107, 0.20698, 0.40948, 0.005, 0.0, 0.0, 0.1058, 0.30232000000000003, 0.09664, 0.04583, 0.10981, 0.0, 0.09865, 0.0, 0.0025, 0.17898, 0.0, 0.0, 0.29364, 0.03331, 0.0, 0.2048, 0.19047, 0.15948, 0.15081, 0.0, 0.38951, 0.55658, 0.07581, 0.34997, 0.11214, 0.54379, 0.44912, 0.34665, 0.26947, 0.1828, 0.59076, 0.24249, 0.023, 0.04531, 0.14565, 0.25318, 0.18665, 0.0075, 0.26082, 0.28331, 0.09913, 0.0, 0.0]"
